Permissible Value	Label	URL
CL:0002084	Boettcher cell	<http://purl.obolibrary.org/obo/CL_0002084>
CL:4033041	CCL3-positive alveolar macrophage	<http://purl.obolibrary.org/obo/CL_4033041>
CL:0002510	"CD103-negative, langerin-positive lymph node dendritic cell"	<http://purl.obolibrary.org/obo/CL_0002510>
CL:0002461	CD103-positive dendritic cell	<http://purl.obolibrary.org/obo/CL_0002461>
CL:0002509	"CD103-positive, langerin-positive lymph node dendritic cell"	<http://purl.obolibrary.org/obo/CL_0002509>
CL:0001022	CD115-positive monocyte	<http://purl.obolibrary.org/obo/CL_0001022>
CL:0001019	CD115-positive monocyte OR common dendritic progenitor	<http://purl.obolibrary.org/obo/CL_0001019>
CL:0001030	CD117-positive common myeloid progenitor OR CD217-positive common lymphoid progenitor	<http://purl.obolibrary.org/obo/CL_0001030>
CL:0002512	"CD11b-high, CD103-negative, langerin-negative lymph node dendritic cell"	<http://purl.obolibrary.org/obo/CL_0002512>
CL:0002511	"CD11b-low, CD103-negative, langerin-negative lymph node dendritic cell"	<http://purl.obolibrary.org/obo/CL_0002511>
CL:0002465	CD11b-positive dendritic cell	<http://purl.obolibrary.org/obo/CL_0002465>
CL:0000989	CD11c-low plasmacytoid dendritic cell	<http://purl.obolibrary.org/obo/CL_0000989>
CL:0000991	CD11c-negative plasmacytoid dendritic cell	<http://purl.obolibrary.org/obo/CL_0000991>
CL:0002396	"CD14-low, CD16-positive monocyte"	<http://purl.obolibrary.org/obo/CL_0002396>
CL:0002526	CD14-positive dermal dendritic cell	<http://purl.obolibrary.org/obo/CL_0002526>
CL:0001054	CD14-positive monocyte	<http://purl.obolibrary.org/obo/CL_0001054>
CL:0001055	"CD14-positive, CD16-low monocyte"	<http://purl.obolibrary.org/obo/CL_0001055>
CL:0002057	"CD14-positive, CD16-negative classical monocyte"	<http://purl.obolibrary.org/obo/CL_0002057>
CL:0002397	"CD14-positive, CD16-positive monocyte"	<http://purl.obolibrary.org/obo/CL_0002397>
CL:0002394	CD141-positive myeloid dendritic cell	<http://purl.obolibrary.org/obo/CL_0002394>
CL:0000938	"CD16-negative, CD56-bright natural killer cell, human"	<http://purl.obolibrary.org/obo/CL_0000938>
CL:0002532	CD16-positive myeloid dendritic cell	<http://purl.obolibrary.org/obo/CL_0002532>
CL:0000939	"CD16-positive, CD56-dim natural killer cell, human"	<http://purl.obolibrary.org/obo/CL_0000939>
CL:0001014	CD1a-positive Langerhans cell	<http://purl.obolibrary.org/obo/CL_0001014>
CL:0002529	CD1a-positive dermal dendritic cell	<http://purl.obolibrary.org/obo/CL_0002529>
CL:0002399	CD1c-positive myeloid dendritic cell	<http://purl.obolibrary.org/obo/CL_0002399>
CL:0002037	"CD2-positive, CD5-positive, CD44-positive alpha-beta intraepithelial T cell"	<http://purl.obolibrary.org/obo/CL_0002037>
CL:0002053	"CD22-positive, CD38-low small pre-B cell"	<http://purl.obolibrary.org/obo/CL_0002053>
CL:0002121	CD24-negative CD38-negative IgG-negative class switched memory B cell	<http://purl.obolibrary.org/obo/CL_0002121>
CL:0002120	CD24-positive CD38-negative IgG-negative class switched memory B cell	<http://purl.obolibrary.org/obo/CL_0002120>
CL:4030038	"CD24-positive, CD-133-positive, vimentin-positive proximal tubular cell"	<http://purl.obolibrary.org/obo/CL_4030038>
CL:0002432	"CD24-positive, CD4 single-positive thymocyte"	<http://purl.obolibrary.org/obo/CL_0002432>
CL:0002434	"CD24-positive, CD8 single-positive thymocyte"	<http://purl.obolibrary.org/obo/CL_0002434>
CL:0011023	CD25+ mast cell	<http://purl.obolibrary.org/obo/CL_0011023>
CL:0002126	"CD25-positive, CD27-positive immature gamma-delta T cell"	<http://purl.obolibrary.org/obo/CL_0002126>
CL:0002125	CD27-negative gamma-delta T cell	<http://purl.obolibrary.org/obo/CL_0002125>
CL:0002124	CD27-positive gamma-delta T cell	<http://purl.obolibrary.org/obo/CL_0002124>
CL:0001072	"CD34-negative, CD117-positive innate lymphoid cell, human"	<http://purl.obolibrary.org/obo/CL_0001072>
CL:0002026	"CD34-negative, CD41-positive, CD42-positive megakaryocyte cell"	<http://purl.obolibrary.org/obo/CL_0002026>
CL:0001073	"CD34-negative, CD56-positive, CD117-positive innate lymphoid cell, human"	<http://purl.obolibrary.org/obo/CL_0001073>
CL:0002004	"CD34-negative, GlyA-negative proerythroblast"	<http://purl.obolibrary.org/obo/CL_0002004>
CL:0001024	"CD34-positive, CD38-negative hematopoietic stem cell"	<http://purl.obolibrary.org/obo/CL_0001024>
CL:0002043	"CD34-positive, CD38-negative multipotent progenitor cell"	<http://purl.obolibrary.org/obo/CL_0002043>
CL:0001021	"CD34-positive, CD38-positive common lymphoid progenitor"	<http://purl.obolibrary.org/obo/CL_0001021>
CL:0001026	"CD34-positive, CD38-positive common myeloid progenitor"	<http://purl.obolibrary.org/obo/CL_0001026>
CL:0000995	"CD34-positive, CD38-positive common myeloid progenitor OR CD34-positive, CD38-positive common lymphoid progenitor"	<http://purl.obolibrary.org/obo/CL_0000995>
CL:0002008	"CD34-positive, CD38-positive eosinophil progenitor cell"	<http://purl.obolibrary.org/obo/CL_0002008>
CL:0002001	"CD34-positive, CD38-positive granulocyte monocyte progenitor"	<http://purl.obolibrary.org/obo/CL_0002001>
CL:0002005	"CD34-positive, CD38-positive megakaryocyte erythroid progenitor cell"	<http://purl.obolibrary.org/obo/CL_0002005>
CL:0002025	"CD34-positive, CD41-positive, CD42-negative megakaryocyte progenitor cell"	<http://purl.obolibrary.org/obo/CL_0002025>
CL:0002023	"CD34-positive, CD41-positive, CD42-positive megakaryocyte progenitor cell"	<http://purl.obolibrary.org/obo/CL_0002023>
CL:0001074	"CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human"	<http://purl.obolibrary.org/obo/CL_0001074>
CL:0002003	"CD34-positive, GlyA-negative erythroid progenitor cell"	<http://purl.obolibrary.org/obo/CL_0002003>
CL:0002051	CD38-high pre-BCR positive cell	<http://purl.obolibrary.org/obo/CL_0002051>
CL:0002108	CD38-negative IgG memory B cell	<http://purl.obolibrary.org/obo/CL_0002108>
CL:0002118	CD38-negative IgG-negative class switched memory B cell	<http://purl.obolibrary.org/obo/CL_0002118>
CL:0002055	CD38-negative immature B cell	<http://purl.obolibrary.org/obo/CL_0002055>
CL:0002102	CD38-negative naive B cell	<http://purl.obolibrary.org/obo/CL_0002102>
CL:0002111	CD38-negative unswitched memory B cell	<http://purl.obolibrary.org/obo/CL_0002111>
CL:0002105	CD38-positive IgG memory B cell	<http://purl.obolibrary.org/obo/CL_0002105>
CL:0002119	CD38-positive IgG-negative class switched memory B cell	<http://purl.obolibrary.org/obo/CL_0002119>
CL:0002101	CD38-positive naive B cell	<http://purl.obolibrary.org/obo/CL_0002101>
CL:0002114	CD38-positive unswitched memory B cell	<http://purl.obolibrary.org/obo/CL_0002114>
CL:0002430	"CD4-intermediate, CD8-positive double-positive thymocyte"	<http://purl.obolibrary.org/obo/CL_0002430>
CL:0000803	CD4-negative CD8-negative gamma-delta intraepithelial T cell	<http://purl.obolibrary.org/obo/CL_0000803>
CL:0002454	"CD4-negative, CD8-alpha-negative, CD11b-positive dendritic cell"	<http://purl.obolibrary.org/obo/CL_0002454>
CL:0000924	"CD4-negative, CD8-negative type I NK T cell"	<http://purl.obolibrary.org/obo/CL_0000924>
CL:0000929	"CD4-negative, CD8-negative type I NK T cell secreting interferon-gamma"	<http://purl.obolibrary.org/obo/CL_0000929>
CL:0000930	"CD4-negative, CD8-negative type I NK T cell secreting interleukin-4"	<http://purl.obolibrary.org/obo/CL_0000930>
CL:0000935	"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell"	<http://purl.obolibrary.org/obo/CL_0000935>
CL:0000999	CD4-positive CD11b-positive dendritic cell	<http://purl.obolibrary.org/obo/CL_0000999>
CL:0000492	CD4-positive helper T cell	<http://purl.obolibrary.org/obo/CL_0000492>
CL:0000923	CD4-positive type I NK T cell	<http://purl.obolibrary.org/obo/CL_0000923>
CL:0000926	CD4-positive type I NK T cell secreting interferon-gamma	<http://purl.obolibrary.org/obo/CL_0000926>
CL:0000927	CD4-positive type I NK T cell secreting interleukin-4	<http://purl.obolibrary.org/obo/CL_0000927>
CL:0001047	"CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell"	<http://purl.obolibrary.org/obo/CL_0001047>
CL:0000792	"CD4-positive, CD25-positive, alpha-beta regulatory T cell"	<http://purl.obolibrary.org/obo/CL_0000792>
CL:0002431	"CD4-positive, CD8-intermediate double-positive thymocyte"	<http://purl.obolibrary.org/obo/CL_0002431>
CL:0001051	"CD4-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell"	<http://purl.obolibrary.org/obo/CL_0001051>
CL:0000624	"CD4-positive, alpha-beta T cell"	<http://purl.obolibrary.org/obo/CL_0000624>
CL:0000934	"CD4-positive, alpha-beta cytotoxic T cell"	<http://purl.obolibrary.org/obo/CL_0000934>
CL:0000793	"CD4-positive, alpha-beta intraepithelial T cell"	<http://purl.obolibrary.org/obo/CL_0000793>
CL:0000897	"CD4-positive, alpha-beta memory T cell"	<http://purl.obolibrary.org/obo/CL_0000897>
CL:0001204	"CD4-positive, alpha-beta memory T cell, CD45RO-positive"	<http://purl.obolibrary.org/obo/CL_0001204>
CL:0000810	"CD4-positive, alpha-beta thymocyte"	<http://purl.obolibrary.org/obo/CL_0000810>
CL:0002344	"CD56-negative, CD161-positive immature natural killer cell, human"	<http://purl.obolibrary.org/obo/CL_0002344>
CL:0002338	"CD56-positive, CD161-positive immature natural killer cell, human"	<http://purl.obolibrary.org/obo/CL_0002338>
CL:4033092	CD57-positive enterocyte	<http://purl.obolibrary.org/obo/CL_4033092>
CL:0002429	CD69-positive double-positive thymocyte	<http://purl.obolibrary.org/obo/CL_0002429>
CL:0002433	"CD69-positive, CD4-positive single-positive thymocyte"	<http://purl.obolibrary.org/obo/CL_0002433>
CL:0002435	"CD69-positive, CD8-positive single-positive thymocyte"	<http://purl.obolibrary.org/obo/CL_0002435>
CL:0001012	CD7-negative lymphoid progenitor OR granulocyte monocyte progenitor	<http://purl.obolibrary.org/obo/CL_0001012>
CL:0001027	CD7-negative lymphoid progenitor cell	<http://purl.obolibrary.org/obo/CL_0001027>
CL:0001028	CD7-positive lymphoid progenitor cell	<http://purl.obolibrary.org/obo/CL_0001028>
CL:0002016	"CD71-low, GlyA-positive polychromatic erythroblast"	<http://purl.obolibrary.org/obo/CL_0002016>
CL:0002018	"CD71-negative, GlyA-positive orthochromatic erythroblast"	<http://purl.obolibrary.org/obo/CL_0002018>
CL:0000802	"CD8-alpha alpha positive, gamma-delta intraepithelial T cell"	<http://purl.obolibrary.org/obo/CL_0000802>
CL:0000915	"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell"	<http://purl.obolibrary.org/obo/CL_0000915>
CL:0000796	"CD8-alpha-beta-positive, alpha-beta intraepithelial T cell"	<http://purl.obolibrary.org/obo/CL_0000796>
CL:0001015	CD8-alpha-low Langerhans cell	<http://purl.obolibrary.org/obo/CL_0001015>
CL:0000998	CD8-alpha-negative CD11b-negative dendritic cell	<http://purl.obolibrary.org/obo/CL_0000998>
CL:0002455	CD8-alpha-negative plasmacytoid dendritic cell	<http://purl.obolibrary.org/obo/CL_0002455>
CL:0002460	CD8-alpha-negative thymic conventional dendritic cell	<http://purl.obolibrary.org/obo/CL_0002460>
CL:0001000	CD8-alpha-positive CD11b-negative dendritic cell	<http://purl.obolibrary.org/obo/CL_0001000>
CL:0002456	CD8-alpha-positive plasmacytoid dendritic cell	<http://purl.obolibrary.org/obo/CL_0002456>
CL:0002059	CD8-alpha-positive thymic conventional dendritic cell	<http://purl.obolibrary.org/obo/CL_0002059>
CL:0000919	"CD8-positive, CD25-positive, alpha-beta regulatory T cell"	<http://purl.obolibrary.org/obo/CL_0000919>
CL:0000920	"CD8-positive, CD28-negative, alpha-beta regulatory T cell"	<http://purl.obolibrary.org/obo/CL_0000920>
CL:0001052	"CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell"	<http://purl.obolibrary.org/obo/CL_0001052>
CL:0001041	"CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"	<http://purl.obolibrary.org/obo/CL_0001041>
CL:0000625	"CD8-positive, alpha-beta T cell"	<http://purl.obolibrary.org/obo/CL_0000625>
CL:0000908	"CD8-positive, alpha-beta cytokine secreting effector T cell"	<http://purl.obolibrary.org/obo/CL_0000908>
CL:0000794	"CD8-positive, alpha-beta cytotoxic T cell"	<http://purl.obolibrary.org/obo/CL_0000794>
CL:0000909	"CD8-positive, alpha-beta memory T cell"	<http://purl.obolibrary.org/obo/CL_0000909>
CL:0001203	"CD8-positive, alpha-beta memory T cell, CD45RO-positive"	<http://purl.obolibrary.org/obo/CL_0001203>
CL:0000795	"CD8-positive, alpha-beta regulatory T cell"	<http://purl.obolibrary.org/obo/CL_0000795>
CL:0000811	"CD8-positive, alpha-beta thymocyte"	<http://purl.obolibrary.org/obo/CL_0000811>
CL:0001202	CD86-positive plasmablast	<http://purl.obolibrary.org/obo/CL_0001202>
CL:0009068	CD8aa(I) thymocyte	<http://purl.obolibrary.org/obo/CL_0009068>
CL:0009069	CD8aa(II) thymocyte	<http://purl.obolibrary.org/obo/CL_0009069>
CL:0002027	"CD9-positive, CD41-positive megakaryocyte cell"	<http://purl.obolibrary.org/obo/CL_0002027>
CL:4042034	CGRP-expressing neuron	<http://purl.obolibrary.org/obo/CL_4042034>
CL:0000410	CNS long range interneuron	<http://purl.obolibrary.org/obo/CL_0000410>
CL:0000117	CNS neuron (sensu Vertebrata)	<http://purl.obolibrary.org/obo/CL_0000117>
CL:0000406	CNS short range interneuron	<http://purl.obolibrary.org/obo/CL_0000406>
CL:0000695	Cajal-Retzius cell	<http://purl.obolibrary.org/obo/CL_0000695>
CL:0000634	Claudius cell	<http://purl.obolibrary.org/obo/CL_0000634>
CL:4030050	D1/D2-hybrid medium spiny neuron	<http://purl.obolibrary.org/obo/CL_4030050>
CL:0004233	DAPI-3 amacrine cell	<http://purl.obolibrary.org/obo/CL_0004233>
CL:0000894	DN1 thymic pro-T cell	<http://purl.obolibrary.org/obo/CL_0000894>
CL:0000806	DN2 thymocyte	<http://purl.obolibrary.org/obo/CL_0000806>
CL:0002423	DN2a thymocyte	<http://purl.obolibrary.org/obo/CL_0002423>
CL:0002424	DN2b thymocyte	<http://purl.obolibrary.org/obo/CL_0002424>
CL:0000807	DN3 thymocyte	<http://purl.obolibrary.org/obo/CL_0000807>
CL:0000808	DN4 thymocyte	<http://purl.obolibrary.org/obo/CL_0000808>
CL:0000635	Deiter's cell	<http://purl.obolibrary.org/obo/CL_0000635>
CL:0002478	F4/80-negative adipose macrophage	<http://purl.obolibrary.org/obo/CL_0002478>
CL:0002479	F4/80-positive adipose macrophage	<http://purl.obolibrary.org/obo/CL_0002479>
CL:0002030	Fc-epsilon RIalpha-high basophil progenitor cell	<http://purl.obolibrary.org/obo/CL_0002030>
CL:0002029	Fc-epsilon RIalpha-low mast cell progenitor	<http://purl.obolibrary.org/obo/CL_0002029>
CL:0002066	Feyrter cell	<http://purl.obolibrary.org/obo/CL_0002066>
CL:0003002	G1 retinal ganglion cell	<http://purl.obolibrary.org/obo/CL_0003002>
CL:0003013	G10 retinal ganglion cell	<http://purl.obolibrary.org/obo/CL_0003013>
CL:0003014	G11 retinal ganglion cell	<http://purl.obolibrary.org/obo/CL_0003014>
CL:0003016	G11-OFF retinal ganglion cell	<http://purl.obolibrary.org/obo/CL_0003016>
CL:0003015	G11-ON retinal ganglion cell	<http://purl.obolibrary.org/obo/CL_0003015>
CL:0003003	G2 retinal ganglion cell	<http://purl.obolibrary.org/obo/CL_0003003>
CL:0003004	G3 retinal ganglion cell	<http://purl.obolibrary.org/obo/CL_0003004>
CL:0003005	G4 retinal ganglion cell	<http://purl.obolibrary.org/obo/CL_0003005>
CL:0003007	G4-OFF retinal ganglion cell	<http://purl.obolibrary.org/obo/CL_0003007>
CL:0003006	G4-ON retinal ganglion cell	<http://purl.obolibrary.org/obo/CL_0003006>
CL:0003008	G5 retinal ganglion cell	<http://purl.obolibrary.org/obo/CL_0003008>
CL:0003009	G6 retinal ganglion cell	<http://purl.obolibrary.org/obo/CL_0003009>
CL:0003010	G7 retinal ganglion cell	<http://purl.obolibrary.org/obo/CL_0003010>
CL:0003011	G8 retinal ganglion cell	<http://purl.obolibrary.org/obo/CL_0003011>
CL:0003012	G9 retinal ganglion cell	<http://purl.obolibrary.org/obo/CL_0003012>
CL:4030027	GABAergic amacrine cell	<http://purl.obolibrary.org/obo/CL_4030027>
CL:0011005	GABAergic interneuron	<http://purl.obolibrary.org/obo/CL_0011005>
CL:4042026	GABAergic interneuron of the anterior substantia nigra pars reticulata	<http://purl.obolibrary.org/obo/CL_4042026>
CL:4042027	GABAergic interneuron of the posterior substantia nigra pars reticulata	<http://purl.obolibrary.org/obo/CL_4042027>
CL:0000617	GABAergic neuron	<http://purl.obolibrary.org/obo/CL_0000617>
CL:0011106	GABAnergic interplexiform cell	<http://purl.obolibrary.org/obo/CL_0011106>
CL:0002278	GIP cell	<http://purl.obolibrary.org/obo/CL_0002278>
CL:0000427	GLR cell	<http://purl.obolibrary.org/obo/CL_0000427>
CL:0002013	GlyA-positive basophilic erythroblast	<http://purl.obolibrary.org/obo/CL_0002013>
CL:0002021	GlyA-positive erythrocyte	<http://purl.obolibrary.org/obo/CL_0002021>
CL:0002020	GlyA-positive reticulocytes	<http://purl.obolibrary.org/obo/CL_0002020>
CL:0002395	Gr1-high classical monocyte	<http://purl.obolibrary.org/obo/CL_0002395>
CL:0002467	Gr1-high myeloid suppressor cell	<http://purl.obolibrary.org/obo/CL_0002467>
CL:0002468	Gr1-low myeloid suppressor cell	<http://purl.obolibrary.org/obo/CL_0002468>
CL:0002058	Gr1-low non-classical monocyte	<http://purl.obolibrary.org/obo/CL_0002058>
CL:0002398	"Gr1-positive, CD43-positive monocyte"	<http://purl.obolibrary.org/obo/CL_0002398>
CL:0004217	H1 horizontal cell	<http://purl.obolibrary.org/obo/CL_0004217>
CL:0004218	H2 horizontal cell	<http://purl.obolibrary.org/obo/CL_0004218>
CL:0000633	Hensen cell	<http://purl.obolibrary.org/obo/CL_0000633>
CL:0010007	His-Purkinje system cell	<http://purl.obolibrary.org/obo/CL_0010007>
CL:3000001	Hofbauer cell	<http://purl.obolibrary.org/obo/CL_3000001>
CL:0001068	ILC1	<http://purl.obolibrary.org/obo/CL_0001068>
CL:0001077	"ILC1, human"	<http://purl.obolibrary.org/obo/CL_0001077>
CL:0000973	IgA memory B cell	<http://purl.obolibrary.org/obo/CL_0000973>
CL:0000987	IgA plasma cell	<http://purl.obolibrary.org/obo/CL_0000987>
CL:0000984	IgA plasmablast	<http://purl.obolibrary.org/obo/CL_0000984>
CL:0000976	IgA short lived plasma cell	<http://purl.obolibrary.org/obo/CL_0000976>
CL:0000949	IgD plasmablast	<http://purl.obolibrary.org/obo/CL_0000949>
CL:0002107	IgD-negative CD38-positive IgG memory B cell	<http://purl.obolibrary.org/obo/CL_0002107>
CL:0001053	IgD-negative memory B cell	<http://purl.obolibrary.org/obo/CL_0001053>
CL:0002106	IgD-positive CD38-positive IgG memory B cell	<http://purl.obolibrary.org/obo/CL_0002106>
CL:0000948	IgE memory B cell	<http://purl.obolibrary.org/obo/CL_0000948>
CL:0000947	IgE plasma cell	<http://purl.obolibrary.org/obo/CL_0000947>
CL:0000950	IgE plasmablast	<http://purl.obolibrary.org/obo/CL_0000950>
CL:0000951	IgE short lived plasma cell	<http://purl.obolibrary.org/obo/CL_0000951>
CL:0000979	IgG memory B cell	<http://purl.obolibrary.org/obo/CL_0000979>
CL:0000985	IgG plasma cell	<http://purl.obolibrary.org/obo/CL_0000985>
CL:0000982	IgG plasmablast	<http://purl.obolibrary.org/obo/CL_0000982>
CL:0000977	IgG short lived plasma cell	<http://purl.obolibrary.org/obo/CL_0000977>
CL:0002117	IgG-negative class switched memory B cell	<http://purl.obolibrary.org/obo/CL_0002117>
CL:0002104	IgG-negative double negative memory B cell	<http://purl.obolibrary.org/obo/CL_0002104>
CL:0002103	IgG-positive double negative memory B cell	<http://purl.obolibrary.org/obo/CL_0002103>
CL:0000971	IgM memory B cell	<http://purl.obolibrary.org/obo/CL_0000971>
CL:0000986	IgM plasma cell	<http://purl.obolibrary.org/obo/CL_0000986>
CL:0000983	IgM plasmablast	<http://purl.obolibrary.org/obo/CL_0000983>
CL:0000978	IgM short lived plasma cell	<http://purl.obolibrary.org/obo/CL_0000978>
CL:4030053	Island of Calleja granule cell	<http://purl.obolibrary.org/obo/CL_4030053>
CL:0001075	"KLRG1-positive innate lymphoid cell, human"	<http://purl.obolibrary.org/obo/CL_0001075>
CL:4023125	KNDy neuron	<http://purl.obolibrary.org/obo/CL_4023125>
CL:0001008	Kit and Sca1-positive hematopoietic stem cell	<http://purl.obolibrary.org/obo/CL_0001008>
CL:0002007	"Kit-low, CD34-positive eosinophil progenitor cell"	<http://purl.obolibrary.org/obo/CL_0002007>
CL:0002000	Kit-positive erythroid progenitor cell	<http://purl.obolibrary.org/obo/CL_0002000>
CL:0002002	Kit-positive granulocyte monocyte progenitor	<http://purl.obolibrary.org/obo/CL_0002002>
CL:0002011	Kit-positive macrophage dendritic cell progenitor	<http://purl.obolibrary.org/obo/CL_0002011>
CL:0002024	Kit-positive megakaryocyte progenitor cell	<http://purl.obolibrary.org/obo/CL_0002024>
CL:0002006	"Kit-positive, CD34-negative megakaryocyte erythroid progenitor cell"	<http://purl.obolibrary.org/obo/CL_0002006>
CL:0001023	"Kit-positive, CD34-positive common myeloid progenitor"	<http://purl.obolibrary.org/obo/CL_0001023>
CL:0001025	"Kit-positive, Sca1-positive common lymphoid progenitor"	<http://purl.obolibrary.org/obo/CL_0001025>
CL:0002044	"Kit-positive, integrin beta7-high basophil mast progenitor cell"	<http://purl.obolibrary.org/obo/CL_0002044>
CL:0005007	Kolmer-Agduhr neuron	<http://purl.obolibrary.org/obo/CL_0005007>
CL:0000091	Kupffer cell	<http://purl.obolibrary.org/obo/CL_0000091>
CL:0003048	L cone cell	<http://purl.obolibrary.org/obo/CL_0003048>
CL:4030060	L2 intratelencephalic projecting glutamatergic neuron	<http://purl.obolibrary.org/obo/CL_4030060>
CL:4042012	L2 marginal neuron	<http://purl.obolibrary.org/obo/CL_4042012>
CL:4030059	L2/3 intratelencephalic projecting glutamatergic neuron	<http://purl.obolibrary.org/obo/CL_4030059>
CL:4023047	L2/3 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	<http://purl.obolibrary.org/obo/CL_4023047>
CL:4023040	L2/3-6 intratelencephalic projecting glutamatergic neuron	<http://purl.obolibrary.org/obo/CL_4023040>
CL:4030061	L3 intratelencephalic projecting glutamatergic neuron	<http://purl.obolibrary.org/obo/CL_4030061>
CL:4030063	L4 intratelencephalic projecting glutamatergic neuron	<http://purl.obolibrary.org/obo/CL_4030063>
CL:4030062	L4/5 intratelencephalic projecting glutamatergic neuron	<http://purl.obolibrary.org/obo/CL_4030062>
CL:4023048	L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	<http://purl.obolibrary.org/obo/CL_4023048>
CL:4023041	L5 extratelencephalic projecting glutamatergic cortical neuron	<http://purl.obolibrary.org/obo/CL_4023041>
CL:4030064	L5 intratelencephalic projecting glutamatergic neuron	<http://purl.obolibrary.org/obo/CL_4030064>
CL:4023049	L5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	<http://purl.obolibrary.org/obo/CL_4023049>
CL:4030067	L5/6 near-projecting glutamatergic neuron	<http://purl.obolibrary.org/obo/CL_4030067>
