Permissible Values	Label	NCIT	ICD10CM	ICD9	ICD-O_3.1
MONDO:0000497	pyometritis	NCIT:C121207			
MONDO:0000500	tongue squamous cell carcinoma	NCIT:C4648			
MONDO:0000502	villous adenoma	NCIT:C7399			8261/0
MONDO:0000503	lung adenocarcinoma in situ	NCIT:C136486			
MONDO:0000518	sacrum chordoma	NCIT:C129927			
MONDO:0000520	parietal lobe ependymal tumor	NCIT:C131575			
MONDO:0000521	salivary gland carcinoma	NCIT:C9272			
MONDO:0000525	cecum villous adenoma	NCIT:C5520			
MONDO:0000527	colon adenoma	NCIT:C3864			
MONDO:0000530	rectum adenoma	NCIT:C5546			
MONDO:0000532	lung combined type small cell adenocarcinoma	NCIT:C9379			
MONDO:0000536	pharyngeal squamous cell carcinoma	NCIT:C102872			
MONDO:0000540	small intestinal neuroendocrine tumor G1	NCIT:C4638			
MONDO:0000541	jejunal adenocarcinoma	NCIT:C181158			
MONDO:0000543	ovarian melanoma	NCIT:C178441			
MONDO:0000544	mucosal melanoma	NCIT:C114828			
MONDO:0000548	ovarian clear cell cancer	NCIT:C40077			
MONDO:0000550	extra-adrenal sympathetic paraganglioma	NCIT:C48576			
MONDO:0000552	breast lobular carcinoma	NCIT:C3771			8520/3
MONDO:0000554	endocervical adenocarcinoma	NCIT:C127907			
MONDO:0000565	infective endocarditis	NCIT:C78265			
MONDO:0000577	congenital anemia	NCIT:C35228			
MONDO:0000594	pervasive developmental disorder	NCIT:C97179			
MONDO:0000595	sexual and gender identity disorders	NCIT:C92202			
MONDO:0000605	hypersensitivity reaction disease	NCIT:C3114			
MONDO:0000607	primary cutaneous T-cell non-Hodgkin lymphoma	NCIT:C3467			9709/3
MONDO:0000618	Her2-receptor negative breast cancer	NCIT:C168519			
MONDO:0000620	breast benign neoplasm	NCIT:C4505		ICD9:217	
MONDO:0000624	benign female reproductive system neoplasm	NCIT:C4934			
MONDO:0000625	benign male reproductive system neoplasm	NCIT:C4777			
MONDO:0000627	benign endocrine neoplasm	NCIT:C4621			
MONDO:0000628	central nervous system organ benign neoplasm	NCIT:C188049			
MONDO:0000631	bone benign neoplasm	NCIT:C4880			
MONDO:0000632	uterine benign neoplasm	NCIT:C3609			
MONDO:0000634	thoracic benign neoplasm	NCIT:C4565			
MONDO:0000636	musculoskeletal system benign neoplasm	NCIT:C166356			
MONDO:0000637	musculoskeletal system cancer	NCIT:C166357			
MONDO:0000640	central nervous system primitive neuroectodermal neoplasm	NCIT:C5398			9473/3
MONDO:0000643	vulvar benign neoplasm	NCIT:C3611			
MONDO:0000644	cervical benign neoplasm	NCIT:C3607			
MONDO:0000645	fallopian tube benign neoplasm	NCIT:C4517			
MONDO:0000646	ovarian benign neoplasm	NCIT:C2895			
MONDO:0000647	benign vaginal neoplasm	NCIT:C3610			
MONDO:0000648	nervous system benign neoplasm	NCIT:C4789			
MONDO:0000650	peritoneal benign neoplasm	NCIT:C8612			
MONDO:0000651	obsolete thoracic disorder	NCIT:C35742			
MONDO:0000654	benign connective and soft tissue neoplasm	NCIT:C3377			
MONDO:0000665	apraxia	NCIT:C180557			
MONDO:0000675	pain agnosia	NCIT:C125664			
MONDO:0000685	visual agnosia	NCIT:C35276			
MONDO:0000688	inborn organic aciduria	NCIT:C101334			
MONDO:0000700	familial hemiplegic migraine	NCIT:C117009			
MONDO:0000702	microscopic colitis	NCIT:C38504			
MONDO:0000703	collagenous colitis	NCIT:C27021			
MONDO:0000704	lymphocytic colitis	NCIT:C27147			
MONDO:0000705	Clostridium difficile colitis	NCIT:C35286			
MONDO:0000706	chemical colitis			ICD9:558	
MONDO:0000707	diversion colitis			ICD9:558	
MONDO:0000709	Crohn ileitis	NCIT:C35329			
MONDO:0000722	non-syndromic synpolydactyly	NCIT:C75003			
MONDO:0000723	stutter disorder	NCIT:C35043			
MONDO:0000728	ptosis	NCIT:C27298			
MONDO:0000736	dyschromatosis universalis hereditaria	NCIT:C173131			
MONDO:0000739	uvulitis	NCIT:C128385			
MONDO:0000741	angular cheilitis	NCIT:C112198			
MONDO:0000743	oral hairy leukoplakia	NCIT:C3722			
MONDO:0000744	lung abscess	NCIT:C99090			
MONDO:0000745	cardiac arrest		ICD10CM:I46		
MONDO:0000746	obsolete inguinal hernia	NCIT:C34690		ICD9:550	
MONDO:0000747	obsolete umbilical hernia	NCIT:C118375			
MONDO:0000748	mastoiditis	NCIT:C128368			
MONDO:0000751	cervical polyp	NCIT:C2939		ICD9:219	
MONDO:0000754	anal fistula	NCIT:C60785			
MONDO:0000755	ectopic pregnancy	NCIT:C34945		ICD9:633	
MONDO:0000758	bacillary angiomatosis	NCIT:C3477			
MONDO:0000770	obsolete shellfish allergy	NCIT:C172320			
MONDO:0000778	obsolete fruit allergy	NCIT:C172316			
MONDO:0000795	obsolete penicillin allergy	NCIT:C34911			
MONDO:0000814	B-cell adult acute lymphocytic leukemia	NCIT:C9143			
MONDO:0000816	abdominal obesity-metabolic syndrome	NCIT:C84442			
MONDO:0000819	anencephaly	NCIT:C84560			
MONDO:0000820	cerebral cavernous malformation	NCIT:C84626			
MONDO:0000827	salmonellosis	NCIT:C157974			
MONDO:0000831	thrombotic disease	NCIT:C26891			
MONDO:0000839	obsolete congenital abnormality	NCIT:C2849			
MONDO:0000845	fibrous dysplasia	NCIT:C34609			
MONDO:0000859	spina bifida occulta	NCIT:C101044			
MONDO:0000866	obsolete hereditary myoglobinuria	NCIT:C114705			
MONDO:0000870	childhood acute lymphoblastic leukemia	NCIT:C3168			
MONDO:0000871	T-cell childhood acute lymphocytic leukemia	NCIT:C7953			
MONDO:0000872	B-cell childhood acute lymphoblastic leukemia	NCIT:C9140			
MONDO:0000873	lymphoblastic lymphoma	NCIT:C9360			972
MONDO:0000874	T-cell childhood lymphoblastic lymphoma	NCIT:C7210			
MONDO:0000875	adult acute monocytic leukemia	NCIT:C8263			
MONDO:0000878	cytomegalovirus retinitis	NCIT:C50521			
MONDO:0000888	gastrointestinal mucositis	NCIT:C3853		ICD9:538	
MONDO:0000892	colon medullary carcinoma	NCIT:C60641			
MONDO:0000893	mixed mucinous and nonmucinous bronchioloalveolar adenocarcinoma	NCIT:C7270			8254/3
MONDO:0000895	nonmucinous bronchioloalveolar adenocarcinoma	NCIT:C7269			8252/3
MONDO:0000914	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1	NCIT:C84606			
MONDO:0000918	endometritis	NCIT:C26764			
MONDO:0000919	ampulla of vater cancer	NCIT:C3536			
MONDO:0000920	duodenum cancer	NCIT:C9328			
MONDO:0000921	ampulla of vater neoplasm	NCIT:C4443			
MONDO:0000922	pelvic inflammatory disease	NCIT:C3889			
MONDO:0000923	interstitial emphysema	NCIT:C34571			
MONDO:0000928	eyelid melanoma	NCIT:C4358			
MONDO:0000929	balloon cell malignant melanoma	NCIT:C4227			8722/3
MONDO:0000930	nodular malignant melanoma	NCIT:C4225			8721/3
MONDO:0000931	endometrial disorder	NCIT:C3504			
MONDO:0000933	subglottis neoplasm	NCIT:C4426			
MONDO:0000934	laryngeal leiomyoma	NCIT:C6027			
MONDO:0000935	larynx squamous papilloma	NCIT:C7742			
MONDO:0000938	gastric leiomyoma	NCIT:C3876			
MONDO:0000939	intracranial abscess	NCIT:C34734			
MONDO:0000940	trypanosomiasis		ICD10CM:B56	ICD9:086	
MONDO:0000942	corneal disorder	NCIT:C26731			
MONDO:0000944	cerebral artery occlusion			ICD9:434	
MONDO:0000948	xerophthalmia	NCIT:C34503			
MONDO:0000951	thymus lymphoma	NCIT:C6451			
MONDO:0000955	ileum cancer	NCIT:C193425			
MONDO:0000956	small intestine cancer	NCIT:C7523			
MONDO:0000960	diabetic peripheral angiopathy	NCIT:C35610			
MONDO:0000961	endobronchial lipoma	NCIT:C5063			
MONDO:0000962	spindle cell lipoma	NCIT:C4254			8857/0
MONDO:0000963	esophageal lipoma	NCIT:C5701			
MONDO:0000964	skin lipoma	NCIT:C4616			
MONDO:0000965	liver lipoma	NCIT:C5750			
MONDO:0000966	pleomorphic lipoma	NCIT:C3703			8854/0
MONDO:0000967	conventional lipoma	NCIT:C27530			
MONDO:0000968	kidney lipoma	NCIT:C5101			
MONDO:0000969	pleural lipoma	NCIT:C6644			
MONDO:0000970	breast lipoma	NCIT:C4647			
MONDO:0000971	chest wall lipoma	NCIT:C6719			
MONDO:0000972	gallbladder lipoma	NCIT:C5835			
MONDO:0000973	external ear lipoma	NCIT:C4618			
MONDO:0000974	axillary lipoma	NCIT:C35419			
MONDO:0000975	lipoma of spermatic cord	NCIT:C3606			
MONDO:0000976	paratesticular lipoma	NCIT:C6384			
MONDO:0000977	chondroid lipoma	NCIT:C6503			8862/0
MONDO:0000978	extrahepatic bile duct lipoma	NCIT:C5854			
MONDO:0000979	pinta disease	NCIT:C85011		ICD9:103	
MONDO:0000983	exhibitionism	NCIT:C94352			
MONDO:0000984	thalassemia	NCIT:C35069	ICD10CM:D56		
MONDO:0000986	pleurisy	NCIT:C26860			
MONDO:0000989	mumps infectious disease	NCIT:C29888	ICD10CM:B26	ICD9:072	
MONDO:0000993	prostate squamous cell carcinoma	NCIT:C5536			
MONDO:0000994	malignant prostate phyllodes tumor	NCIT:C5531			
MONDO:0000995	familial periodic paralysis	NCIT:C84709			
MONDO:0000996	prostate lymphoma	NCIT:C5533			
MONDO:0001000	mixed mineral dust pneumoconiosis	NCIT:C27559		ICD9:503	
MONDO:0001001	baritosis	NCIT:C34410		ICD9:503	
MONDO:0001003	pneumoconiosis due to talc	NCIT:C27026		ICD9:502	
MONDO:0001004	slate pneumoconiosis	NCIT:C35397		ICD9:502	
MONDO:0001005	kaolin pneumoconiosis	NCIT:C35315		ICD9:502	
MONDO:0001014	chronic leukemia	NCIT:C3483			9800/3
MONDO:0001015	eosinophilic meningitis	NCIT:C128374			
MONDO:0001016	epididymis cancer	NCIT:C3558			
MONDO:0001017	epididymal adenocarcinoma	NCIT:C39957			
MONDO:0001020	amblyopia	NCIT:C118764			
MONDO:0001023	prolymphocytic leukemia	NCIT:C3181			9832/3
MONDO:0001028	acute pericementitis	NCIT:C34354			
MONDO:0001029	Klippel-Feil syndrome	NCIT:C98967			
MONDO:0001036	hypopyon	NCIT:C50593			
MONDO:0001039	tonsillitis	NCIT:C116006			
MONDO:0001040	nasopharyngitis	NCIT:C34837			
MONDO:0001044	esophageal atresia	NCIT:C87072			
MONDO:0001045	intestinal atresia	NCIT:C84790			
MONDO:0001046	imperforate anus	NCIT:C84784			
MONDO:0001056	gastric cancer	NCIT:C9331	ICD10CM:C16	ICD9:151	
MONDO:0001057	malignant gastric granular cell tumor	NCIT:C5484			
MONDO:0001059	gastric lymphoma	NCIT:C4636			
MONDO:0001060	microinvasive gastric cancer	NCIT:C27131			
MONDO:0001061	pylorus cancer	NCIT:C188051			
MONDO:0001066	late yaws	NCIT:C41354			
MONDO:0001067	early yaws	NCIT:C41352			
MONDO:0001068	osteomalacia	NCIT:C26838			
MONDO:0001071	intellectual disability	NCIT:C97250		ICD9:319	
MONDO:0001074	chronic tic disorder	NCIT:C116768			
MONDO:0001075	steatorrhea	NCIT:C86917			
MONDO:0001076	glucose intolerance	NCIT:C34646			
MONDO:0001078	tropical sprue	NCIT:C45428			
MONDO:0001081	acute cervicitis	NCIT:C27056			
MONDO:0001082	lymph node cancer	NCIT:C35812			
MONDO:0001083	Fanconi renotubular syndrome	NCIT:C3034			
MONDO:0001085	interstitial nephritis	NCIT:C26834			
MONDO:0001087	schizotypal personality disorder	NCIT:C92632			
MONDO:0001091	lipoma of colon	NCIT:C5493			
MONDO:0001092	colon leiomyoma	NCIT:C5492			
MONDO:0001093	colonic lymphangioma	NCIT:C5500			
MONDO:0001095	mediastinum neuroblastoma	NCIT:C6628			
MONDO:0001096	mediastinum ganglioneuroblastoma	NCIT:C6627			
MONDO:0001098	separation anxiety disorder	NCIT:C35014			
MONDO:0001099	lactocele	NCIT:C3515			
MONDO:0001100	hypertrophy of breast	NCIT:C3125	ICD10CM:N62		
MONDO:0001101	fat necrosis of breast	NCIT:C3661			
MONDO:0001106	kidney failure	NCIT:C4376		ICD9:586	
MONDO:0001108	broad ligament malignant neoplasm	NCIT:C179934			
MONDO:0001110	chronic pyelonephritis	NCIT:C123216			
MONDO:0001114	bacterial myocarditis	NCIT:C128380			
MONDO:0001115	familial polycythemia	NCIT:C26955			
MONDO:0001116	mesenteric lymphadenitis	NCIT:C26830			
MONDO:0001117	methemoglobinemia	NCIT:C34817			
MONDO:0001119	premature menopause	NCIT:C80099			
MONDO:0001120	chronic frontal sinusitis	NCIT:C34473			
MONDO:0001121	frontal sinusitis	NCIT:C34626			
MONDO:0001122	chronic maxillary sinusitis	NCIT:C34477			
MONDO:0001123	chronic sphenoidal sinusitis	NCIT:C34480			
MONDO:0001126	gastric ulcer	NCIT:C3388	ICD10CM:K25	ICD9:531	
MONDO:0001128	nasal cavity cancer	NCIT:C4918			
MONDO:0001129	nasal cavity olfactory neuroblastoma	NCIT:C7604			
MONDO:0001130	nasal cavity lymphoma	NCIT:C6074			
MONDO:0001132	sexual sadism disorder	NCIT:C94358			
MONDO:0001133	malignant essential hypertension	NCIT:C34802			
MONDO:0001134	essential hypertension			ICD9:401	
MONDO:0001135	voyeurism	NCIT:C94360			
MONDO:0001139	sexual masochism disorder	NCIT:C94356			
MONDO:0001142	salivary gland disorder	NCIT:C26879			
MONDO:0001147	meningocele	NCIT:C101209			
MONDO:0001149	microcephaly	NCIT:C85874			
MONDO:0001150	hydrocephalus	NCIT:C3111	ICD10CM:G91		
MONDO:0001156	borderline personality disorder	NCIT:C92633			
MONDO:0001157	dependent personality disorder	NCIT:C92637			
MONDO:0001158	obsessive-compulsive personality disorder	NCIT:C92638			
MONDO:0001159	multiple personality disorder	NCIT:C94330			
MONDO:0001160	dissociative disorder	NCIT:C92197			
MONDO:0001161	schizoid personality disorder	NCIT:C92631			
MONDO:0001162	impulse control disorder	NCIT:C34723			
MONDO:0001163	paranoid personality disorder	NCIT:C92630			
MONDO:0001164	antisocial personality disorder	NCIT:C88413			
MONDO:0001165	tongue disorder	NCIT:C173793			
MONDO:0001166	nephritis	NCIT:C26833			
MONDO:0001167	spastic diplegia	NCIT:C34781			
MONDO:0001168	spastic hemiplegia	NCIT:C116905			
MONDO:0001172	salpingo-oophoritis	NCIT:C171201			
MONDO:0001173	acute salpingitis	NCIT:C40120			
MONDO:0001174	conjunctival vascular disorder	NCIT:C35116			
MONDO:0001176	lens disorder	NCIT:C26812			
MONDO:0001180	bullous keratopathy	NCIT:C26970			
MONDO:0001185	dissociative amnesia	NCIT:C94328			
MONDO:0001186	depersonalization disorder	NCIT:C94331			
MONDO:0001187	urinary bladder cancer	NCIT:C9334		ICD9:188	
MONDO:0001188	esophagus lymphoma	NCIT:C5687			
MONDO:0001192	esophageal melanoma	NCIT:C5707			
MONDO:0001195	spotted fever		ICD10CM:A77		
MONDO:0001200	secondary hypertension			ICD9:405	
MONDO:0001204	esophagus sarcoma	NCIT:C5341			
MONDO:0001208	acute respiratory failure	NCIT:C27043			
MONDO:0001209	common wart	NCIT:C27087			
MONDO:0001214	acute conjunctivitis	NCIT:C35195			
MONDO:0001217	pseudomembranous conjunctivitis	NCIT:C35196			
MONDO:0001220	hypoparathyroidism	NCIT:C78350	ICD10CM:E20		
MONDO:0001221	esophageal varices	NCIT:C53506	ICD10CM:I85		
MONDO:0001222	congenital T-cell immunodeficiency	NCIT:C27872			
MONDO:0001223	parathyroid gland disorder	NCIT:C26844		ICD9:252	
MONDO:0001224	Angelucci syndrome	NCIT:C34353			
MONDO:0001226	acute contagious conjunctivitis	NCIT:C35704			
MONDO:0001235	appendix cancer	NCIT:C9333			
MONDO:0001236	appendiceal neoplasm	NCIT:C4434			
MONDO:0001237	appendix lymphoma	NCIT:C5513			
MONDO:0001238	polycythemia neonatorum	NCIT:C27069			
MONDO:0001239	anemia of prematurity	NCIT:C97167			
MONDO:0001242	disseminated intravascular coagulation in newborn	NCIT:C111856			
MONDO:0001243	disseminated intravascular coagulation	NCIT:C2992			
MONDO:0001244	vitamin K deficiency hemorrhagic disease	NCIT:C99108			
MONDO:0001245	microcytic anemia	NCIT:C35141			
MONDO:0001246	typhus			ICD9:080	
MONDO:0001247	social phobia	NCIT:C34927			
MONDO:0001249	trachoma			ICD9:076	
MONDO:0001252	Plummer disease	NCIT:C35171			
MONDO:0001256	arteriovenous hemangioma/malformation	NCIT:C2882			
MONDO:0001259	pituitary gland infarction	NCIT:C27117			
MONDO:0001260	cercarial dermatitis	NCIT:C128349			
MONDO:0001261	Mobitz type II atrioventricular block	NCIT:C62018			
MONDO:0001265	schizophreniform disorder	NCIT:C94376			
MONDO:0001266	erysipelas		ICD10CM:A46	ICD9:035	
MONDO:0001269	scleral disorder	NCIT:C79717			
MONDO:0001271	lens subluxation	NCIT:C34772			
MONDO:0001273	megacolon	NCIT:C34810			
MONDO:0001275	spinal meningioma	NCIT:C6935			
MONDO:0001276	expressive language disorder	NCIT:C92562			
MONDO:0001279	intraspinal meningioma	NCIT:C5134			
MONDO:0001280	choroiditis	NCIT:C35111			
MONDO:0001282	fallopian tube endometriosis	NCIT:C26763			
MONDO:0001283	endosalpingiosis	NCIT:C40121			
MONDO:0001286	exotropia	NCIT:C34601			
MONDO:0001288	endometriosis of rectovaginal septum and vagina	NCIT:C128064			
MONDO:0001290	allergic cutaneous vasculitis	NCIT:C35119			
MONDO:0001293	subglottis cancer	NCIT:C3546			
MONDO:0001294	Horner syndrome	NCIT:C28155			
MONDO:0001297	cardiac tamponade	NCIT:C50481			
MONDO:0001298	congenital mitral valve insufficiency	NCIT:C197881			
MONDO:0001299	diabetic autonomic neuropathy	NCIT:C27068			
MONDO:0001300	autonomic neuropathy	NCIT:C27033			
MONDO:0001301	rumination disorder	NCIT:C92567			
MONDO:0001302	hypertensive heart disease	NCIT:C4907		ICD9:402	
MONDO:0001307	corneal abscess	NCIT:C26969			
MONDO:0001309	oculomotor nerve paralysis	NCIT:C27597			
MONDO:0001314	chondrocalcinosis	NCIT:C34955			
MONDO:0001322	pericardium cancer	NCIT:C4567			
MONDO:0001325	penile cancer	NCIT:C7547			
MONDO:0001336	familial hyperlipidemia	NCIT:C34709			
MONDO:0001339	portal vein thrombosis	NCIT:C78565	ICD10CM:I81	ICD9:452	
MONDO:0001340	heart cancer	NCIT:C3548			
MONDO:0001341	selective IgA deficiency disease	NCIT:C26964			
MONDO:0001343	impaired renal function disease		ICD10CM:N25		
MONDO:0001347	facioscapulohumeral muscular dystrophy	NCIT:C84704			
MONDO:0001351	uterine adnexa cancer			ICD9:183	
MONDO:0001356	iron deficiency anemia	NCIT:C84484			
MONDO:0001357	hypochromic anemia	NCIT:C34380			
MONDO:0001358	bronchial disorder	NCIT:C34439			
MONDO:0001369	chronic laryngitis	NCIT:C26975			
MONDO:0001370	pericardial effusion	NCIT:C3319			
MONDO:0001371	protein-energy malnutrition	NCIT:C34952			
MONDO:0001374	bladder sarcoma	NCIT:C4669			
MONDO:0001381	bladder lymphoma	NCIT:C6164			
MONDO:0001382	hepatorenal syndrome	NCIT:C113400			
MONDO:0001385	cortical blindness	NCIT:C118707			
MONDO:0001386	visual epilepsy	NCIT:C3980			
MONDO:0001387	penile sarcoma	NCIT:C7730			
MONDO:0001388	glans penis cancer	NCIT:C194357			
MONDO:0001398	ureter benign neoplasm	NCIT:C3617			
MONDO:0001399	ureter leiomyoma	NCIT:C6161			
MONDO:0001400	schwannoma of ureter	NCIT:C6162			
MONDO:0001402	vaginal cancer	NCIT:C7410			
MONDO:0001403	labium majus cancer	NCIT:C7638			
MONDO:0001405	dermatophytosis of groin and perianal area	NCIT:C34535			
MONDO:0001406	peripheral nervous system neoplasm	NCIT:C3321			
MONDO:0001407	tracheal cancer	NCIT:C9346	ICD10CM:C33		
MONDO:0001408	ischemic neuropathy	NCIT:C27025			
MONDO:0001409	esophagitis	NCIT:C9224			
MONDO:0001414	osteopoikilosis	NCIT:C84985			
MONDO:0001415	atrophy of testis	NCIT:C123259			
MONDO:0001416	female reproductive organ cancer	NCIT:C4913		ICD9:184	
MONDO:0001417	tracheal lymphoma	NCIT:C6248			
MONDO:0001418	trachea sarcoma	NCIT:C6050			
MONDO:0001419	trachea squamous cell carcinoma	NCIT:C4448			
MONDO:0001420	trigeminal nerve neoplasm	NCIT:C5122			
MONDO:0001421	frontal lobe neoplasm	NCIT:C5572			
MONDO:0001422	primary aldosteronism	NCIT:C34510			
MONDO:0001426	mediastinum neurofibroma	NCIT:C6631			
MONDO:0001429	transient arthropathy	NCIT:C35761			
MONDO:0001433	vaginal disorder	NCIT:C26910			
MONDO:0001436	hemosiderosis	NCIT:C82892			
MONDO:0001437	pulmonary alveolar proteinosis	NCIT:C85037			
MONDO:0001438	postinflammatory pulmonary fibrosis			ICD9:515	
MONDO:0001441	pica disease	NCIT:C92566			
MONDO:0001442	dysthymic disorder	NCIT:C34562			
MONDO:0001444	Chagas disease	NCIT:C84629	ICD10CM:B57		
MONDO:0001451	peripheral retinal degeneration	NCIT:C34919			
MONDO:0001470	anal margin squamous cell carcinoma	NCIT:C6925			
MONDO:0001472	testicular lymphoma	NCIT:C6810			
MONDO:0001476	coloboma	NCIT:C98877			
MONDO:0001479	cutaneous diphtheria	NCIT:C34544			
MONDO:0001482	testicular leukemia	NCIT:C9277			
MONDO:0001484	paranoid schizophrenia	NCIT:C35006			
MONDO:0001490	corneal granular dystrophy	NCIT:C34651			
MONDO:0001493	chronic pulmonary heart disease	NCIT:C34478			
MONDO:0001494	obsolete transvestism	NCIT:C94359			
MONDO:0001499	retroperitoneal lymphoma	NCIT:C7353			
MONDO:0001500	obsolete gender identity disorder	NCIT:C94362			
MONDO:0001501	retroperitoneal sarcoma	NCIT:C4832			
MONDO:0001502	retroperitoneum carcinoma	NCIT:C7352			
MONDO:0001504	fetishistic disorder	NCIT:C94353			
MONDO:0001505	alcoholic hepatitis	NCIT:C34684			
MONDO:0001516	spinal muscular atrophy	NCIT:C85075			
MONDO:0001520	kleptomania	NCIT:C94333			
MONDO:0001521	intermittent explosive disorder	NCIT:C94332			
MONDO:0001522	pyromania	NCIT:C94334			
MONDO:0001526	labia minora cancer	NCIT:C7637			
MONDO:0001528	vulva cancer	NCIT:C7502			
MONDO:0001529	pancytopenia	NCIT:C34889			
MONDO:0001531	blood coagulation disease	NCIT:C2902		ICD9:286	
MONDO:0001535	vagus nerve disorder	NCIT:C27591			
MONDO:0001536	vaginal leiomyoma	NCIT:C6373			
MONDO:0001540	bagassosis	NCIT:C34409			
MONDO:0001549	hemolytic-uremic syndrome	NCIT:C75545			
MONDO:0001552	dyscalculia	NCIT:C97165			
MONDO:0001555	neonatal thyrotoxicosis	NCIT:C114906			
MONDO:0001558	Potter sequence	NCIT:C40435			
MONDO:0001560	hypertrophic pyloric stenosis	NCIT:C98952			
MONDO:0001561	pyloric stenosis	NCIT:C34966			
MONDO:0001563	vestibulocochlear nerve disorder	NCIT:C27207			
MONDO:0001564	binocular vision disease	NCIT:C34422			
MONDO:0001566	hypercalcemia disease	NCIT:C3112			
MONDO:0001567	nephrocalcinosis	NCIT:C84918			
MONDO:0001568	mixed receptive-expressive language disorder	NCIT:C92563			
MONDO:0001569	acoustic neuroma	NCIT:C3276			9560/0
MONDO:0001571	gynecomastia disorder	NCIT:C3073			
MONDO:0001572	leiomyoma	NCIT:C3157			8890/0
MONDO:0001574	capillary disorder			ICD9:448	
MONDO:0001576	telangiectasis	NCIT:C28194			
