PERMITTED_VALUE	DESCRIPTION	DEFINITION
Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA	None	An acute myeloid leukemia (AML) in which abnormal promyelocytes predominate.  It is characterized by the t(15;17)(q22;q12) translocation.  There are two variants: the typical and microgranular variant.  This AML is particularly sensitive to treatment with all trans-retinoic acid and has a favorable prognosis.  (WHO, 2001)
Adamantinoma	None	A low grade malignant biphasic tumor characterized by a variety of morphologic patterns, most commonly epithelial cells surrounded by a relatively bland spindle-cell osteofibrous component. The tibia is the most commonly affected site. (WHO 2002)
Adenocarcinoma in Adenomatous Polyp	None	A non-invasive or invasive adenocarcinoma arising from the neoplastic glandular cells in an adenomatous polyp.
Adenocarcinoma In Situ in Adenomatous Polyp	None	A non-invasive adenocarcinoma arising from the neoplastic glandular cells in an adenomatous polyp.
Adenocarcinoma In Situ in Villous Adenoma	None	A non-invasive adenocarcinoma arising from a villous adenoma.
Adenocarcinoma in Tubulovillous Adenoma	None	A non-invasive or invasive adenocarcinoma arising from a tubulovillous adenoma.
Adenocarcinoma with Apocrine Metaplasia	None	An invasive adenocarcinoma characterized by focal or extensive transformation of the malignant glandular cells to cells with abundant, usually granular eosinophilic cytoplasm.
Adenocarcinoma with Neuroendocrine Differentiation	None	An invasive adenocarcinoma characterized by the presence of focal or extensive neuroendocrine differentiation.
Adenocarcinoma with Squamous Metaplasia	None	An invasive adenocarcinoma characterized by the presence of focal or extensive transformation of malignant glandular cells to squamous epithelial cells.
Adenoid Cystic Carcinoma	None	A malignant tumor arising from the epithelial cells.  Microscopically, the neoplastic epithelial cells form cylindrical spatial configurations (cribriform or classic type of adenoid cystic carcinoma), cordlike structures (tubular type of adenoid cystic carcinoma), or solid structures (basaloid variant of adenoid cystic carcinoma).  Adenoid cystic carcinomas mostly occur in the salivary glands.  Other primary sites of involvement include the lacrimal gland, the larynx, and the lungs.  Adenoid cystic carcinomas spread along nerve sheaths, resulting in severe pain, and they tend to recur.  Lymph node metastases are unusual; hematogenous tumor spread is characteristic.
Adenomatoid Tumor	None	A benign neoplasm arising from mesothelial cells. It is characterized by the formation of glandular and tubular patterns. It can occur in several anatomic sites including the pleura, peritoneum, and epididymis.
Adenoma	None	A neoplasm arising from the glandular epithelium.  It may be encapsulated or non-encapsulated.  The neoplastic epithelial cells may or may not display cellular atypia or dysplasia.  Representative examples are pituitary gland adenoma, follicular adenoma of the thyroid gland, and adenomas (or adenomatous polyps) of the gastrointestinal tract. -- 2004
Adenosarcoma	None	A low grade malignant neoplasm characterized by the presence of a benign epithelial component (tubular and cleft-like glands) and a low grade sarcomatous component that contains varying amounts of fibrous and smooth muscle tissues. In a minority of cases, the sarcomatous component contains heterologous elements including striated muscle, cartilage, and fat. It occurs in the uterine corpus, ovary, fallopian tube, cervix, and vagina. It may recur and in a minority of cases may metastasize to distant anatomic sites.
Adnexal Adenocarcinoma, Not Otherwise Specified	None	An adnexal carcinoma with ductal/glandular differentiation lacking specific histological features that would allow further classification. (WHO 2018)
Adrenal Cortical Carcinoma	None	A rare, usually large (greater than 5cm), malignant epithelial tumor arising from the adrenal cortical cells.  Symptoms are usually related to the excessive production of hormones, and include Cushing's syndrome and virilism in women.  Common sites of metastasis include liver, lung, bone, and retroperitoneal lymph nodes.  Advanced radiologic procedures have enabled the detection of small tumors, resulting in the improvement of the 5-year survival.
Adrenal Cortical Compact Cell Adenoma	None	An adenoma of the adrenal cortex composed of neoplastic compact cells with eosinophilic cytoplasm.
Adrenal Cortical Mixed Cell Adenoma	None	An adenoma of the adrenal cortex composed of a mixed neoplastic cellular population, including varying numbers of neoplastic clear and compact cells.
Adrenal Gland Pheochromocytoma	None	A benign or malignant neuroendocrine neoplasm of the sympathetic nervous system that secretes catecholamines.  It arises from the chromaffin cells of the adrenal medulla.  Clinical presentation includes headaches, palpitations, chest and abdominal pain, hypertension, fever, and tremor.  Microscopically, a characteristic nesting (zellballen) growth pattern is usually seen.  Other growth patterns including trabecular pattern may also be present.
Adult Cardiac Cellular Rhabdomyoma	None	A rare cardiac rhabdomyoma occurring in adults.  It is characterized by the presence of neoplastic striated muscle cells with eosinophilic granular cytoplasm and increased cellularity.
Adult Ovarian Granulosa Cell Tumor	None	A granulosa cell tumor that affects middle aged or postmenopausal women.  Patients may present with uterine bleeding.
Adult T-Cell Leukemia/Lymphoma	None	A peripheral (mature) T-cell neoplasm caused by the human T-cell leukemia virus type 1 (HTLV-1).  Adult T-cell leukemia/lymphoma is endemic in several regions of the world, in particular Japan, the Caribbean, and parts of Central Africa. (WHO, 2001)
Aggressive NK-Cell Leukemia	None	A rare, highly aggressive, Epstein-Barr virus-associated leukemia, also known as aggressive NK-cell leukemia/lymphoma; it may represent the leukemic counterpart of nasal type extranodal NK/T-cell lymphomas. It affects primarily teenagers and young adults. It is characterized by the systemic proliferation of NK cells in the peripheral blood, bone marrow, liver, and spleen.
Aggressive Papillary Tumor	None	A locally invasive, papillary epithelial neoplasm arising in any area of the middle ear, including the mastoid process and air cells, and may fill the tympanic cavity. It is characterized by the presence of a papillary glandular pattern, with complex interdigitating papillae lying loosely or infiltrating fibrous connective tissue. (WHO 2017)
Alpha Heavy Chain Disease	None	A clonal disorder, also known as immunoproliferative small intestinal disease or Mediterranean lymphoma, characterised by the secretion of a defective alpha heavy chain.  It predominantly affects young people in the Mediterranean region.  It involves the small intestine, and patients usually present with malabsorption syndrome, abdominal pain, weight loss, and fever.  There is extensive villous atrophy of the small intestinal mucosa, which is heavily infiltrated by small lymphocytes and plasma cells.  The small intestinal morphologic changes are consistent with a mucosa-associated lymphoid tissue lymphoma (MALT lymphoma).
Alveolar Rhabdomyosarcoma	None	A rapidly growing malignant mesenchymal neoplasm. It is characterized by the presence of round cells with myoblastic differentiation and a fibrovascular stroma resembling an alveolar growth pattern. The tumor usually presents in the extremities.
Amelanotic Melanoma	None	A melanoma characterized by the complete absence of melanin pigment in the melanoma cells. It occurs more frequently on the face and it is often associated with desmoplastic reaction.
Ameloblastic Fibrodentinoma	None	A rare neoplasm arising from tooth-forming tissues. It usually arises from the posterior mandible. It is characterized by the presence of an epithelial component, fibromyxoid stroma, and dentin formation. It is treated with enucleation and curettage. Recurrences may occur.
Ameloblastic Fibroodontosarcoma	None	An odontogenic sarcoma producing enamel/enameloid and dentin.
Ameloblastoma	None	The most common odontogenic tumor, arising from the epithelial component of the embryonic tooth and usually affecting the molar-ramus region of the mandible or maxilla.  Although most ameloblastomas are morphologically and clinically benign, they may cause extensive local destruction, recur, or metastasize.
Ampullary Noninvasive Pancreatobiliary Papillary Neoplasm with High Grade Dysplasia	None	An ampullary noninvasive papillary neoplasm of the pancreatobiliary type characterized by the presence of high grade dysplasia.
Anal Canal Cloacogenic Carcinoma	None	An anal carcinoma arising from the transitional zone of the anal canal.
Anaplastic (Malignant) Meningioma	None	A WHO grade III meningioma characterized by the presence of malignant morphologic features, including malignant cytology and a very high mitotic index (20 or more mitoses per ten high power fields).
Anaplastic Ependymoma	None	Anaplastic Ependymoma (WHO grade III) is a malignant glioma of ependymal origin with accelerated growth and an unfavorable clinical outcome, particularly in children. Anaplastic Ependymomas show high mitotic activity, often accompanied by microvascular proliferation and pseudo-palisading necrosis. (Adapted from WHO.)
Anaplastic Large Cell Lymphoma, ALK-Negative	None	A T-cell peripheral lymphoma morphologically indistinguishable from anaplastic large cell lymphoma, ALK-positive.  It is characterized by the absence of the translocation involving the ALK gene and lacks expression of ALK fusion protein.
Anaplastic Oligodendroglioma	None	A WHO grade III oligodendroglioma with focal or diffuse malignant morphologic features (prominent nuclear pleomorphism, mitoses, and increased cellularity).
Angiocentric Glioma	None	A WHO grade I, slow-growing brain neoplasm of children and young adults, associated with epilepsy.  Morphologically it is characterized by an angiocentric pattern, monomorphic cellular infiltrate, and ependymal differentiation.
Angiofibroma	None	A morphologic variant of fibroma characterized by the presence of numerous dilated vascular channels.
Angiokeratoma	None	A vascular lesion in the papillary dermis resulting from ectasia of pre-existing vessels. It is associated with secondary proliferative changes in the overlying epidermis (hyperkeratosis). It can present with widespread lesions (angiokeratoma corporis diffusum, often associated with inborn errors of metabolism) or as a localized lesion (angiokeratoma of Fordyce, angiokeratoma circumscriptum, and angiokeratoma of Mibelli).
Angiolipoma	None	A lipoma with prominent vascularity. The vascular tissue is more abundant at the periphery of the tumor and contains fibrin thrombi. It occurs more frequently in younger individuals as a painful subcutaneous nodule, often on the arms.
Angiomatous Meningioma	None	A WHO grade I meningioma characterized by the presence of small and medium sized vessels that predominate over the meningioma cells.
Angiomyolipoma	None	A neoplasm with perivascular epithelioid cell differentiation often associated with tuberous sclerosis.  It is characterized by a mixture of epithelioid cells, smooth muscle, vessels, and mature adipose tissue.  The kidney is the most common site of involvement.  Other sites of involvement include the liver, lung, lymph nodes, and retroperitoneum.  The vast majority of cases follow a benign clinical course.  However, cases of metastatic angiomyolipomas with sarcomatoid features have been described.
Angiomyxoma	None	A benign soft tissue neoplasm characterized by the presence of neoplastic spindle and stellate cells in a myxoid stroma.
Aorticopulmonary Paraganglioma	None	A benign or malignant extra-adrenal parasympathetic paraganglioma that arises from paraganglia adjacent to the base of the heart and great vessels.
Apocrine Carcinoma	None	A carcinoma with apocrine differentiation arising from the sweat glands. It presents as single or multiple nodular lesions which may be ulcerated or hemorrhagic and is usually in the axilla and less often in the anogenital region. It grows in the dermis and infiltrates subcutaneous tissues. It is characterized by the presence of large cells with abundant eosinophilic cytoplasm and large often vesicular nuclei. Most cases are slow growing tumors and have a prolonged course.
Arteriovenous Malformation/Hemangioma	None	Abnormal, tangled collections of dilated blood vessels that result from congenitally malformed vascular structures in which arterial afferents flow directly into venous efferents without the usual resistance of an intervening capillary bed. A common type is the congenital arteriovenous fistula (ARTERIOVENOUS FISTULA /congenital). For arteriovenous malformations in the brain, INTRACRANIAL ARTERIOVENOUS MALFORMATIONS is available. (From Merck Manual, 15th ed)
Astroblastoma, MN1-Altered	None	Astroblastoma is a rare glial neoplasm more commonly found in young adults. It is characterized by tumor cells with characteristics suggestive of an astrocytic origin (positive for GFAP), arranged perivascularly. The cells have broad, non-tapering processes radiating towards a central blood vessel. The biologic behavior of astroblastomas is variable, so no WHO grade has been established, yet. (Adapted from WHO.) NCIPDQ
Astrocytoma	None	A tumor of the brain or spinal cord showing astrocytic differentiation. It includes the following clinicopathological entities: pilocytic astrocytoma, diffuse astrocytoma, anaplastic astrocytoma, pleomorphic xanthoastrocytoma, and subependymal giant cell astrocytoma.
Atypical Adenoma	None	An adenoma characterized by increased cellularity and nuclear atypia without evidence of vascular or capsular invasion. A representative example is thyroid gland atypical follicular adenoma.
Atypical Choroid Plexus Papilloma	None	A choroid plexus papilloma characterized by increased mitotic activity.
Atypical Fibroxanthoma	None	An intermediate cutaneous mesenchymal neoplasm of uncertain differentiation, usually affecting the actinic-damaged skin of the elderly.  The tumor presents as a single cutaneous nodule which is often ulcerated.  Microscopically, it is characterized by the presence of highly atypical cytologic features, pleomorphism and abundant mitotic figures. The vast majority of patients have an excellent prognosis following conservative therapy. Recurrences are infrequent, and metastasis is rare.
Atypical Meningioma	None	A WHO grade II meningioma with increased mitotic activity or three or more of the following features: increased cellularity, small cells with high nuclear to cytoplasm ratio, prominent nucleoli, uninterrupted patternless or sheet-like growth, and foci of spontaneous or geographic necrosis. (Adapted from WHO 2000.)
Atypical Vascular Lesion	None	Benign vascular proliferations following external radiation. The lesions present in adults, predominantly in elderly women following radiotherapy for breast carcinoma. They arise from the radiated skin and are papules, small vesicles, or erythematous ecchymotic plaques with prominent telangiectasias. Identical lesions can occur after radiation for cervical carcinoma, endometrial carcinoma, ovarian carcinoma, Hodgkin lymphoma, and melanoma. There is an increased risk for subsequent development of angiosarcoma.
B Lymphoblastic Leukemia/Lymphoma with Hyperdiploidy	None	A precursor lymphoid neoplasm composed of B-lymphoblasts which contain more than 50 and usually less than 66 chromosomes. It has a favorable clinical outcome.
B Lymphoblastic Leukemia/Lymphoma with t(12;21)(p13.2;q22.1); ETV6-RUNX1	None	A precursor lymphoid neoplasm which is composed of B-lymphoblasts and carries a translocation between the TEL gene on chromosome 12 and the AML1 gene on chromosome 21, (p13.2;q22.1). It results in the production of the TEL-AML1 (ETV6-RUNX1) fusion protein. It has a favorable clinical outcome.
B Lymphoblastic Leukemia/Lymphoma with t(5;14)(q31.1;q32.3); IL3-IGH	None	A precursor lymphoid neoplasm which is composed of B-lymphoblasts and carries a translocation between the IL3 gene on chromosome 5 and the IGH locus on chromosome 14, (q31.1;q32.3). It results in eosinophilia.
B Lymphoblastic Leukemia/Lymphoma with t(v;11q23.3); MLL Rearranged	None	A precursor lymphoid neoplasm which is composed of B-lymphoblasts and carries a translocation between the KMT2A gene at 11q23.3 and another gene partner resulting in the production of a KMT2A related fusion protein.
B-Cell Prolymphocytic Leukemia	None	A malignant B-cell lymphoproliferative process affecting the blood, bone marrow, and spleen.  The B-prolymphocytes are medium-sized, round lymphoid cells with prominent nucleoli.  The B-prolymphocytes must exceed 55% of lymphoid cells in the blood.  Cases of transformed chronic lymphocytic leukemia (CLL) and CLL with increased prolymphocytes are excluded.  The prognosis is poor.  (WHO, 2001) -- 2003
Balloon Cell Nevus	None	An uncommon variant of melanocytic nevus. It presents as a small pigmented skin lesion. It is characterized by the presence of large melanocytes with clear, foamy or finely vacuolated cytoplasm. It may recur if it is not completely excised.
Basal Cell Carcinoma	None	A carcinoma involving the basal cells.
Basaloid Carcinoma	None	A malignant epithelial neoplasm characterized by the presence of neoplastic cells with hyperchromatic nuclei, small amount of cytoplasm, and peripheral nuclear palisading.
Basophilic Adenocarcinoma	None	A malignant epithelial neoplasm of the anterior pituitary gland in which the neoplastic cells stain positive with basic dyes.
Benign Epithelial Neoplasm	None	A neoplasm that arises from epithelial cells and is characterized by the absence of atypical or malignant cytological and architectural features, and absence of invasive features or metastatic potential.
Benign Mesenchymoma	None	A term describing a benign soft tissue tumor which consists of two or more mesenchymal lines of differentiation, excluding a fibroblastic line of differentiation
Benign Neoplasm	None	A neoplasm characterized by the absence of atypical or malignant cytological and architectural features, and absence of invasive features or metastatic potential.
Benign Odontogenic Neoplasm	None	A benign, slow growing neoplasm arising from tooth-forming tissues. It occurs in the maxillofacial skeleton or the gingiva. Representative examples include adenomatoid odontogenic tumor, calcifying cystic odontogenic tumor, and squamous odontogenic tumor.
Benign PEComa	None	A tumor with perivascular epithelioid cell differentiation characterized by the absence of pleomorphism and scarcity or absence of mitotic figures.
Benign Sertoli Cell Tumor	None	A Sertoli cell tumor of the testis or the ovary which remains localized and does not metastasize to another anatomic site.
Benign Stromal Tumor	None	A benign neoplasm composed of mesenchymal stromal cells without evidence of cellular atypia.
Benign Teratoma	None	A teratoma that contains only mature tissue elements (mature teratoma or grade 0 teratoma) or a limited amount of immature tissue elements (grade 1 teratoma).
Bile Duct Mucinous Cystic Neoplasm with an Associated Invasive Carcinoma	None	A mucinous cystic neoplasm that arises from the intrahepatic or extrahepatic bile ducts and it is associated with an invasive carcinomatous component.
Biphasic Mesothelioma	None	A malignant neoplasm arising from mesothelial cells in the pleura. It is characterized by the presence of neoplastic epithelioid cells and sarcomatoid features.
Biphenotypic Sinonasal Sarcoma	None	A rare, slow-growing, low-grade soft tissue sarcoma arising from the sinonasal tract. It presents with non-specific obstructive nasal symptoms. Morphologically, it is an infiltrative, cellular spindle cell neoplasm. It is associated with rearrangement of the PAX3 gene.
Bizarre Parosteal Osteochondromatous Proliferation	None	A benign lesion that usually affects the proximal small bones of the hands or feet.  Grossly it consists of a cartilage cap and a bony stalk.  Microscopically it is characterized by the presence of spindle cells, cartilage, and bone, usually in a disorganized pattern compared to subungual exostosis.  Enlarged (bizarre) chondrocytes are present in the cartilage.  Swelling with or without pain is present.  Recurrences following resection have been reported in approximately half of cases.
Blue Nevus	None	An intradermal nevus characterized by the presence of benign pigmented dendritic spindle-shaped melanocytes. It most frequently occurs in the skin of the distal upper extremities, followed by the lower extremities, scalp, face, and buttocks. It usually presents as a single blue or blue-black papular lesion less than 1cm in diameter. Simple excision is usually curative.
Borderline Ovarian Clear Cell Tumor	None	An epithelial neoplasm with low malignant potential affecting the ovary.  It is characterized by the presence of clear or hobnail cells.  In some cases, the cells may display nuclear atypia and prominent nucleoli.  When such cells are present, they remain confined to the glands.  There is no evidence of stromal invasion.
Borderline Ovarian Endometrioid Tumor/Atypical Proliferative Ovarian Endometrioid Tumor	None	A neoplasm of low malignant potential arising from the ovary. It is characterized by the presence of glandular or cystic spaces which contain atypical glandular epithelial cells resembling endometrial cells. The surrounding ovarian stroma is often fibrotic. There is no evidence of stromal invasion.
Borderline Ovarian Seromucinous Tumor/Atypical Proliferative Ovarian Seromucinous Tumor	None	A low grade ovarian epithelial tumor composed of an admixture of two or more of the five major cell types: serous, mucinous, endometrioid, clear cell, and Brenner/transitional.  The second or second and third cell types must comprise alone or together at least 10% of the tumor epithelium. The majority of patients present with stage I tumor and a minority present with bilateral disease. Morphologically, it shows papillae with detached cell clusters.  Microinvasion may be seen rarely. (WHO 2003)
Borderline Ovarian Serous Tumor-Micropapillary Variant/Non-Invasive Low Grade Ovarian Serous Carcinoma	None	A non-invasive serous neoplasm that arises from the ovary and shows micropapillary and/or cribriform architectural patterns.  It is composed of round epithelial cells with scant cytoplasm and moderate nuclear atypia.
Borderline Papillary Cystadenoma	None	A serous or mucinous cystic glandular epithelial neoplasm of low malignant potential. It is characterized by the presence of atypical or malignant glandular epithelial cells forming papillary structures with an absence of stromal invasion.
Bowen Disease of the Skin	None	A form of squamous cell carcinoma in situ.  It is a distinct clinicopathological entity and arises from the skin or the mucocutaneous junction.  It affects predominantly white males in their 6-8th decades of life.  Exposed and non-exposed skin sites are equally affected.  UV damage and ingestion of inorganic arsenic may play a role in the development of the disease.  On the skin surface, it presents as a single or multiple erythematous, scaly, keratotic patches or plaques.  The clinical entity of erythroplasia of Queyrat is regarded as Bowen disease of the penis and it presents as an asymptomatic, red, circumscribed plaque.  Morphologically, Bowen disease is characterized by the presence of hyperkeratosis, parakeratosis, dyskeratosis, and acanthosis.  The keratotic squamous cells are atypical and display hyperchromatism and abnormal mitotic figures.  The dermoepidermal basement membrane is intact.  Complete surgical removal of the lesion may be curative.
Breast Atypical Medullary Carcinoma	None	An invasive ductal breast carcinoma characterized by the presence of a predominantly syncytial architectural pattern. It may have some, but not all the strictly defined additional morphologic criteria which are necessary for the diagnosis of medullary breast carcinoma (presence of a diffuse lymphoplasmacytic infiltrate, neoplastic round cells with abundant cytoplasm and vesicular nuclei, complete histological circumscription, and absence of glandular or tubular structures). It does not have the relatively favorable outcome that characterizes medullary breast carcinoma.
Breast Ductal Carcinoma In Situ and Lobular Carcinoma In Situ	None	The co-existence of ductal and lobular carcinoma in situ in the breast, without evidence of stromal invasion.
Breast Ductal Carcinoma In Situ, Solid Type	None	A ductal carcinoma in situ of the breast in which the tumor cells fill the ductal spaces as solid sheets.
Breast Fibroadenoma	None	A benign tumor of the breast characterized by the presence of stromal and epithelial elements. It presents as a painless, solitary, slow growing, firm, and mobile mass. It is the most common benign breast lesion. It usually occurs in women of childbearing age. The majority of fibroadenomas do not recur after complete excision. A slightly increased risk of developing cancer within fibroadenomas or in the breast tissue of patients previously treated for fibroadenomas has been reported.
Breast Inflammatory Carcinoma	None	A type of breast cancer in which the breast looks red and swollen and feels warm. The skin of the breast may also show the pitted appearance called peau d'orange (like the skin of an orange). The redness and warmth occur because the cancer cells block the lymph vessels in the skin.
Breast Intraductal Papilloma	None	A benign papillary neoplasm that arises anywhere in the ductal system of the breast. It is characterized by the presence of fibrovascular structures lined by benign epithelial and myoepithelial proliferations.  Intraductal breast papillomas are classified as central, when they arise in large ducts, or peripheral, when they arise in the terminal ductal lobular units.
Breast Lobular Carcinoma	None	An adenocarcinoma of the breast arising from the lobules.  This is a relatively uncommon carcinoma, represents approximately 10% of the breast adenocarcinomas and is often bilateral or multifocal.
Breast Micropapillary Ductal Carcinoma In Situ	None	An intraductal papillary carcinoma in which the neoplastic epithelial cells are arranged in micropapillary patterns.
Breast Paget Disease with Invasive Ductal Carcinoma	None	Paget's disease involving the skin overlying the mammary gland, accompanied by invasive ductal breast carcinoma.
Breast Papillary Ductal Carcinoma In Situ with Invasion	None	A breast adenocarcinoma characterized by the presence of intraductal and invasive papillary carcinomatous components.
Breast Pericanalicular Fibroadenoma	None	A morphologic variant of breast fibroadenoma without clinical significance. It is characterized by circumferential proliferation of stromal cells around the ducts. This results in the formation of rounded ductal-epithelial structures.
Breast Scirrhous Carcinoma	None	An infiltrating ductal breast carcinoma associated with stromal fibrosis.
Brenner Tumor	None	A usually benign tumor composed of solid and cystic nests of epithelial cells resembling transitional epithelium; it is surrounded by an abundant stromal component that is dense and fibroblastic in nature.
Burkitt Lymphoma	None	A highly aggressive lymphoma composed of monomorphic medium-sized B-cells with basophilic cytoplasm and numerous mitotic figures.  It is often associated with the presence of Epstein-Barr virus (EBV) and is commonly seen in AIDS patients.  Three morphologic variants are recognized: classical Burkitt lymphoma, Burkitt lymphoma with plasmacytoid differentiation, and atypical Burkitt/Burkitt-like lymphoma.  All cases express the MYC translocation [t(8;14)]. (WHO, 2001)
Calcifying Cystic Odontogenic Tumor	None	A benign, intraosseous or extraosseous cystic neoplasm arising from tooth-forming tissues. It is characterized by the presence of a cyst lined by an ameloblastoma-like epithelium and ghost cells formation. The ghost cells may undergo calcification. It is treated with enucleation. Few recurrences have been reported for intraosseous neoplasms whereas no recurrences have been reported for extraosseous neoplasms.
Calcifying Nested Stromal-Epithelial Tumor	None	A rare malignant tumor that arises from the liver and occurs in children.  It is characterized by the presence of nested epithelioid and spindle cells.  Desmoplasia, calcifications, and bone formation may also be present.
Carcinoid Tumor	None	Carcinoid tumor, also known as well differentiated endocrine neoplasm, is a slow growing neuroendocrine tumor, composed of uniform, round, or polygonal cells having monotonous, centrally located nuclei and small nucleoli, infrequent mitoses, and no necrosis.  The tumor may show a variety of patterns, such as solid, trabecular, and acinar.  Electron microscopy shows small secretory granules.  Immunohistochemical studies reveal NSE, as well as chromogranin immunoreactivity.  Malignant histology (cellular pleomorphism, hyperchromatic nuclei, prominent nucleoli, necrosis, and mitoses) can occasionally be seen.  Such cases may have an aggressive clinical course.  Gastrointestinal tract and lung are common sites of involvement.
Carcinoma In Situ	None	A malignant epithelial neoplasm which is confined to the epithelial layer without evidence of further tissue invasion.
Carcinomatosis	None	A condition in which cancer is spread widely throughout the body.
Carcinosarcoma	None	A malignant tumor composed of a mixture of carcinomatous and sarcomatous elements.
Cavernous Hemangioma	None	A hemangioma characterized by the presence of cavernous vascular spaces.
Cellular Blue Nevus	None	A blue nevus characterized by a multinodular cellular infiltrate with a dumb-bell architecture occupying the reticular dermis. The cellular infiltrate often extends into the subcutaneous tissue. The cellular infiltrate is composed of spindle-shaped melanocytes with pale cytoplasm alternating with bundles of pigmented spindle-shaped melanocytes. In occasional cases an increased mitotic activity, focal necrosis, and nuclear pleomorphism may be seen. Such cases with atypical features may have an uncertain malignant potential.
Cellular Leiomyoma	None	A morphologic variant of classic leiomyoma characterized by a dense cellular infiltrate composed of spindle or round cells with scant cytoplasm and a less obvious interlacing fascicle pattern.
Cemento-Ossifying Fibroma	None	A well circumscribed lesion of the bone, most frequently arising from the posterior mandible. It is characterized by the presence of fibrous tissue and a mineralized component which may be woven bone, lamellar bone, or cementum-like material. Complete removal is recommended, since it continues to enlarge if left untreated.
Central Nervous System Embryonal Tumor	None	A malignant neoplasm of embryonal origin, arising from the central nervous system.  It usually affects children.  Representative examples include ependymoblastoma, medulloblastoma, and atypical teratoid/rhabdoid tumor.
Central Nervous System Solitary Fibrous Tumor, Grade 1	None	A solitary fibrous tumor that arises from the central nervous system. It corresponds most often to the collagenous and low cellularity spindle cell tumor which was diagnosed as central nervous system solitary fibrous tumor in the past.
Cerebellar Sarcoma	None	An obsolete term referring to desmoplastic medulloblastoma.
