PERMITTED_VALUE	DESCRIPTION	DEFINITION
Sepsis	Septicemia	The presence of pathogenic microorganisms in the blood stream causing a rapidly progressing systemic reaction that may lead to shock. Symptoms include fever, chills, tachycardia, and increased respiratory rate. It is a medical emergency that requires urgent medical attention.
Sinusoidal Obstruction Syndrome	None	Blockage of the small- or medium-sized hepatic veins due to nonthrombotic subendothelial edema which may progress to fibrosis.
Spinal Muscular Atrophy	None	An inherited disorder characterized by degeneration of the spinal cord and the cerebellum. Symptoms may appear at any age and include progressive loss of coordination of gait, hands, speech, and eye movements.
Suicide	Suicide	The act of ending one's own life.
Surgical Complication	None	A disease or disorder that occurs during, soon after or as a result of a surgical procedure.
Thromboembolic	Thromboembolism	Obstruction of a vessel by a blood clot that has been transported from a distant site by the blood stream.
Thrombosis	Thrombosis	The formation of a blood clot in the lumen of a vessel or heart chamber; causes include coagulation disorders and vascular endothelial injury.
Thrombotic thrombocytopenic purpura (HUS/TTP)	Thrombocytopenic Purpura	Purpura associated with a reduction in circulating blood platelets which can result from a variety of factors.
Toxicity	Toxicity	The finding of bodily harm due to the poisonous effects of something.
Unacceptable Toxicity	None	Therapy-related toxicity leading to multiple treatment dose reductions or delays, early treatment stoppage, unplanned hospital admission, or death.
Unclassified infection / Infection NOS	Not Otherwise Specified Unclassified Infection	Not characterized in any other way.: Not arranged or included in any specific grouping.: A disorder resulting from the presence and activity of a microbial, viral, or parasitic agent. It can be transmitted by direct or indirect contact.
Unknown	Unknown	Not known, not observed, not recorded, or refused.
VOD	Veno-Occlusive Disease	Disorder in which veins are partially or completely obstructed or the blood flow through the veins is suboptimal.--2004
Vascular, not otherwise specified	Vascular Not Otherwise Specified	Relating to or containing blood vessels.: Not characterized in any other way.
Veno-occlusive disease (VOD) / sinusodial obstruction syndrome (SOS)	Hepatic Veno-Occlusive Disease	Blockage of the small- or medium-sized hepatic veins due to nonthrombotic subendothelial edema which may progress to fibrosis.
Viral infection	Viral Infection	A general term for diseases produced by viruses.
