PERMITTED_VALUE	DESCRIPTION	DEFINITION
STAT3	STAT3 Gene	This gene plays a role in signal transduction and activation of transcription. It is involved in regulation of both apoptosis and cell growth.
STAG2	STAG2 Gene	This gene is involved in cell division.
STAG1	STAG1 Gene	This gene plays a role in sister chromatid binding.
SSX4	SSX4 Gene	This gene may be involved in transcriptional modulation.
SSX2	SSX2 Gene	This gene may play a role in transcriptional regulation.
SSX1	SSX1 Gene	This gene may be involved in the regulation of transcription.
SS18L1	SS18L1 Gene	This gene plays a role in the positive regulation of transcription.
SS18	SS18 Gene	This gene is involved in transcriptional activation.
SRSF3	SRSF3 Gene	This gene plays a role in RNA splicing and export.
SRSF2	SRSF2 Gene	This gene plays a role in RNA splicing.
SRGAP3	SRGAP3 Gene	This gene plays a role in GTPase-mediated signaling.
SRC	SRC Gene	This gene is involved in apoptosis, hormonogenesis, focal adhesion and the formation of intercellular junctions.
KDSR	KDSR Gene	This gene plays a role in glycosphingolipid metabolism.
ZNF198	ZMYM2 Gene	This gene plays a role in transcriptional modulation.
TSC2	TSC2 Gene	This gene plays a role in signal transduction and cell cycle control. It is involved in cell adhesion, differentiation, growth and migration.
TSC1	TSC1 Gene	This gene is involved in cell cycle regulation and the loss of cellular adhesion.
SFRP4	SFRP4 Gene	This gene plays a role in signal transduction, apoptosis and cell proliferation.
RAD21	RAD21 Gene	This gene is involved in chromosomal cohesion, DNA repair and apoptosis.
PTPRC	PTPRC Gene	This gene plays a role in suppression of cytokine receptor signaling and the regulation of signal transduction in lymphocytes.
PLCG1	PLCG1 Gene	This gene is involved in both intracellular signaling and second messenger production.
PIK3CA	PIK3CA Gene	This gene is involved in apoptosis, cell growth and angiogenesis.
PGR	PGR Gene	This gene plays a role in the signal transduction processes that are involved in pregnancy.
NT5C2	NT5C2 Gene	This gene plays a role in purine metabolism.
MUC4	MUC4 Gene	This gene is involved in both cell adhesion and receptor signaling.
MUC1	MUC1 Gene	This gene plays a role in cellular signal transduction and is used as a biomarker for breast cancer.
MLH2	PMS1 Gene	This gene is involved in mismatch repair and mutations in the gene result in hereditary non-polyposis colon cancer 3.
MKL1	MKL1 Gene	This gene is involved in transcriptional modulation and muscle cell differentiation.
LMNA	LMNA Gene	This gene is involved in the architecture of nuclear membrane construction.
HLA-A	HLA-A Gene	This gene is involved in immune responses and histocompatibility processes.
GNA11	GNA11 Gene	This gene is involved in signal transduction.
GLI1	GLI1 Gene	This gene plays a regulatory role in transcription and embryonic development.
FLT3	FLT3 Gene	This gene plays a role in hematopoiesis and may function as a growth factor receptor.
ESR1	ESR1 Gene	This gene is involved in ligand-activated transcriptional activity.
ERBB2	ERBB2 Gene	This gene plays a role in cellular proliferation and is involved in the oncogenic process through amplification and/or overexpression in several cancers.
EPAS1	EPAS1 Gene	This gene plays a role in the cellular response to hypoxia.
DDX3X	DDX3X Gene	This gene is involved in RNA binding.
EPS15	EPS15 Gene	This gene plays a role in signal transduction and cell proliferation.
ERBB3	ERBB3 Gene	This gene is involved in signal transduction pathways that result in cellular proliferation or differentiation. The gene has also been associated with numerous cancers.
EPHA7	EPHA7 Gene	This gene plays a role in mediation of developmental processes.
EPHA3	EPHA3 Gene	This gene is involved in receptor tyrosine kinase signal transduction and plays a role in lymphoid function and differentiation.
EP300	EP300 Gene	This gene plays a role in DNA repair and regulation of transcription.
EML4	EML4 Gene	This gene may play a role in cytoskeletal assembly.
ELN	ELN Gene	This gene is involved in the structure of the extracellular matrix.
ELL	ELL Gene	This gene is involved in the modulation of transcription.
ELK4	ELK4 Gene	This gene is involved in the regulation of transcription.
ELF4	ELF4 Gene	This gene plays a role in both DNA binding and transcriptional activation.
ELF3	ELF3 Gene	This gene is involved in the regulation of both transcription and epithelial cell differentiation. It also plays a role in angiogenesis.
EIF4A2	EIF4A2 Gene	This gene is involved in translation initiation.
EIF3E	EIF3E Gene	This gene is involved in the initiation and regulation of protein translation.
EIF1AX	EIF1AX Gene	This gene is involved in translation initiation and efficiency.
EGFR	EGFR Gene	This gene is involved in the epidermal growth factor signal transduction pathway.
EED	EED Gene	This gene plays a role in the negative regulation of transcription.
ECT2L	ECT2L Gene	This gene may be involved in guanine nucleotide exchange.
EBF1	EBF1 Gene	This gene plays a role in transcriptional activation.
DUX4L1	DUX4L1 Gene	Human DUX4L1 gene is located in the vicinity of 4q35 and is approximately 2 kb in length. The product is a processed pseudogene that produces an RNA transcript, but does not encode a protein product. This gene is within a D4Z4 repeat array; contraction of this macrosatellite repeat is associated with facioscapulohumeral muscular dystrophy (FSHD).
DROSHA	DROSHA Gene	This gene plays a role in the processing of microRNA in the nucleus.
DNMT3A	DNMT3A Gene	This gene is involved in epigenetic modification of DNA.
DNM2	DNM2 Gene	This gene plays a role in both GTP hydrolysis and microtubule organization.
DNAJB1	DNAJB1 Gene	This gene plays a role in the regulation of protein folding.
DICER1	DICER1 Gene	This gene is involved in the RNA interference pathway.
DGCR8	DGCR8 Gene	This gene plays a role in microRNA processing.
DEK	DEK Gene	This gene is involved in RNA processing and regulation of chromatin organization.
DDX6	DDX6 Gene	This gene plays a role in the translation of mRNA encoded by genes involved in cell proliferation and malignant transformation.
DDX5	DDX5 Gene	This gene is involved in the mediation of RNA metabolism.
DDX10	DDX10 Gene	This gene plays a role in both RNA metabolism and ATP hydrolysis.
DDR2	DDR2 Gene	This gene plays a role in extracellular matrix communication processes and receptor-mediated signal transduction.
DDIT3	DDIT3 Gene	This gene plays a role in the modulation of transcription.
DDB2	DDB2 Gene	This gene plays a role in DNA repair.
DCTN1	DCTN1 Gene	This gene is involved in the modulation of retrograde transport of cytoplasmic organelles and vesicles.
DCC	DCC Gene	This gene plays a role in the regulation of several processes that determine neuronal cell morphology.
DCAF12L2	DCAF12L2 Gene	This gene may play a role in protein complex formation.
DAXX	DAXX Gene	This gene plays a role in signal transduction, regulation of transcription and enhancement of apoptosis.
CYSLTR2	CYSLTR2 Gene	This gene is involved in cysteinyl leukotriene binding and signal transduction.
CYP2C8	CYP2C8 Gene	This gene plays a role in drug metabolism. It is also involved in the oxidation of both endobiotics and xenobiotics.
CYLD	CYLD Gene	This gene is involved in protein deubiquitination.
CXCR4	CXCR4 gene	This gene is involved in the mediation of viral entry into cells and cellular migration and chemotaxis.
CUX1	CUX1 Gene	This gene is involved in both transcriptional regulation and Golgi vesicle transport.
CUL3	CUL3 Gene	This gene plays a role in protein degradation and cell cycle arrest.
CTNND2	CTNND2 Gene	This gene is involved in the regulation of both transcription and signal transduction.
CTNND1	CTNND1 Gene	This gene plays a role in signal transduction.
CTNNB1	CTNNB1 Gene	This gene is involved in signal transduction and regulation of transcription.
CTNNA2	CTNNA2 Gene	This gene is involved in cell-cell adhesion and cellular differentiation in the nervous system.
CTCF	CTCF Gene	This gene is involved in epigenetic control of gene expression.
CSMD3	CSMD3 Gene	This gene plays a role in neuronal development.
CSF3R	CSF3R Gene	This gene plays an inhibitory role in cell survival and proliferation.
CSF1R	CSF1R Gene	This gene is essential for the regulation of the production, differentiation, and function of macrophages.
CRTC3	CRTC3 Gene	This gene is involved in transcriptional regulation.
CRTC1	CRTC1 Gene	This gene plays a role in the positive regulation of transcription.
CRNKL1	CRNKL1 Gene	This gene is involved in RNA binding and pre-mRNA splicing.
CRLF2	CRLF2 Gene	This gene is involved in cytokine binding and signaling.
CREBBP	CREBBP Gene	This gene plays a role in transcriptional regulation and in NF-kappa B signal transduction.
CREB3L2	CREB3L2 Gene	This gene is involved in the response to cellular stress.
CREB3L1	CREB3L1 Gene	This gene plays a role in transcriptional regulation in response to cellular stress.
CREB1	CREB1 Gene	This gene is involved in transcriptional regulation and its activity is modulated in response to hormonal stimulation from the cAMP pathway.
COX6C	COX6C Gene	This gene is involved in mitochondrial respiration.
COL3A1	COL3A1 Gene	This gene plays a role in collagen formation in connective tissues.
COL2A1	COL2A1 Gene	This gene plays a role in both skeletal development and cartilage structure.
COL1A1	COL1A1 Gene	This gene plays an important structural role in cartilage and mutations in the gene are associated with osteogenesis imperfecta.
CNTRL	CNTRL Gene	This gene plays a role in cell cycle progression.
CNTNAP2	CNTNAP2 Gene	This gene may be involved in axonal structure.
CNOT3	CNOT3 Gene	This gene is involved in mRNA degradation, miRNA-mediated repression, translational regulation and general transcription regulation.
CNBP	CNBP Gene	This gene is involved in sterol-mediated transcription.
CNBD1	CNBD1 Gene	This gene is involved in cyclic nucleotide binding.
CLTCL1	CLTCL1 Gene	This gene is involved in both receptor-mediated endocytosis and vesicle formation.
CLTC	CLTC Gene	This gene plays a role in both the formation of cellular vesicles and receptor-mediated endocytosis.
CLP1	CLP1 Gene	This gene plays a role in RNA processing.
CLIP1	CLIP1 Gene	This gene plays a role in both endocytosis and mitosis.
CIITA	CIITA Gene	This gene plays a role in transcriptional regulation.
CIC	CIC Gene	This gene is involved in the modulation of transcription.
CHST11	CHST11 Gene	This gene plays a role in the metabolism of chondroitin sulfate.
CHIC2	CHIC2 Gene	This gene may play a role in vesicular transport.
CHEK2	CHEK2 Gene	This gene plays a role in cell survival and the negative regulation of cell growth.
CHD4	CHD4 Gene	This gene is involved in ATP-dependent chromatin remodeling.
CHD2	CHD2 Gene	This gene may be involved in the regulation of both gene expression and chromatin modification.
CHCHD7	CHCHD7 Gene	This gene may be involved in stature.
CEP89	CEP89 Gene	This gene is involved in cilia formation.
CEBPA	CEBPA Gene	This gene plays a role in body weight homeostasis and cellular proliferation. Mutations in the gene are associated with acute myeloid leukemia.
CDX2	CDX2 Gene	This gene plays a role in transcriptional initiation, embryonic axial elongation and patterning.
CDKN2C	CDKN2C Gene	This gene is involved in cell cycle inhibition and regulation.
CDKN2A	CDKN2A Gene	This gene functions as a tumor suppressor and transcriptional regulator.
CDKN1B	CDKN1B Gene	This gene is involved in cell cycle regulation and cyclin regulation.
CDKN1A	CDKN1A Gene	This gene is a regulator of cell cycle progression at the G1 phase of the cell cycle.
CDK6	CDK6 Gene	This gene plays a role in the progression of the cell cycle.
CDK4	CDK4 Gene	This gene is involved in G1 stage cell cycle progression.
CDK12	CDK12 Gene	This gene is involved in protein phosphorylation, RNA splicing and transcription elongation.
CDH17	CDH17 Gene	This gene is involved in cell-cell adhesion and intestinal proton-dependent peptide transport.
CDH11	CDH11 Gene	This gene is involved in the adherens junction.
CDH10	CDH10 Gene	This gene plays a role in the modulation of neuronal cell shape and cell-cell adhesion.
CDH1	CDH1 Gene	This gene plays a role in cell-cell adhesion and loss of function contributes to the progression of many carcinomas.
CDC73	CDC73 Gene	This gene is involved in transcription and may play a role in cell cycle progression.
CD99	CD99 Gene	This gene plays a role in the cell adhesion process.
CD79B	CD79B Gene	This gene plays a role in signaling in B-cells.
CD79A	CD79A Gene	This gene is involved in B-cell signaling and proliferation.
CD74	CD74 Gene	This gene plays a role in antigen processing and presentation.
CD28	CD28 Gene	This gene plays several roles in cellular functions specific to the T-cell.
Not Reported 	Not Reported	Not provided or available.
Unknown 	Unknown	Not known, observed, recorded; or reported as unknown by the data contributor.
ZRSR2	ZRSR2 Gene	This gene is involved in mRNA processing.
ZNRF3	ZNRF3 Gene	This gene is involved in protein ubiquitination and Wnt pathway inhibition.
ZNF521	ZNF521 Gene	This gene plays a role in both the positive and negative regulation of transcription.
ZNF479	ZNF479 Gene	This gene may play a role in the regulation of gene transcription.
ZNF444	ZNF444 Gene	This gene is involved in both transcriptional regulation and DNA binding.
ZNF429	ZNF429 Gene	This gene may play a role in the regulation of gene transcription.
ZNF384	ZNF384 Gene	This gene is involved in both transcriptional regulation and DNA binding.
ZNF331	ZNF331 Gene	This gene plays a role in transcriptional regulation.
ZMYM3	ZMYM3 Gene	This gene is involved in chromatin modification.
ZFHX3	ZFHX3 Gene	This gene is involved in myoblast and neuronal differentiation.
ZEB1	ZEB1 gene	This gene is involved in the transcriptional repression of interleukin 2.
ZCCHC8	ZCCHC8 Gene	This gene plays a role in RNA binding.
ZBTB16	ZBTB16 Gene	This gene plays a role in apoptosis and regulation of transcription. It is also involved in cell organization/biogenesis and megakaryocytic development.
YWHAE	YWHAE Gene	This gene plays a role in signaling.
XPO1	XPO1 Gene	This gene plays a role in the regulation of nuclear export.
XPC	XPC Gene	This gene is involved in nucleotide excision repair.
XPA	XPA Gene	This gene facilitates DNA binding in repair processes and is associated with the disease xeroderma pigmentosum complementation group A.
WWTR1	WWTR1 Gene	This gene is involved in regulation of transcription. It is involved in fetal/neonatal cardiac and muscle development.
WT1	WT1 Gene	This gene plays a role in regulation of transcription. It is involved in the control of both cell differentiation and proliferation.
WRN	WRN Gene	This gene is involved in DNA repair and the unwinding of DNA.
WNK2	WNK2 Gene	This gene plays a role in electrolyte homeostasis, cell signaling, cell survival, and cellular proliferation.
WIF1	WIF1 Gene	This gene plays a role in Wnt protein-dependent signaling.
WAS	WAS Gene	This gene is involved in signal transduction and plays a role in cell communication and organization.
VTI1A	VTI1A Gene	This gene is involved in vesicular transport.
VHL	VHL Gene	This gene is involved in transcriptional repression and protein degradation.
VAV1	VAV1 Gene	This gene plays a role in signal transduction. It is involved in the development and activation of both B cells and T cells.
USP8	USP8 Gene	This gene plays a role in ubiquitin-dependent proteolysis and cell proliferation.
USP6	USP6 Gene	This gene is involved in the regulation of cellular ubiquitination. It also plays a role in promoting the recycling of endocytic vesicles to the plasma membrane.
UBR5	UBR5 Gene	This gene plays a role in protein ubiquitination.
U2AF1	U2AF1 Gene	This gene is involved in the splicing of mRNA.
TSHR	TSHR Gene	This gene plays an important role in the regulation of thyroid cell metabolism.
TRRAP	TRRAP Gene	This gene is involved in DNA repair and regulation of mitosis.
TRIP11	TRIP11 Gene	This gene plays a role in thyroid receptor binding.
TRIM33	TRIM33 Gene	This gene is involved in the mediation of protein ubiquitination.
TRIM27	TRIM27 Gene	This gene is involved in the differentiation of male germ cells.
TRIM24	TRIM24 Gene	This gene plays a role in hormone-dependent gene transcription.
PTPRB	PTPRB Gene	This gene is involved in dephosphorylation of proteins.
PTK6	PTK6 Gene	This gene plays a role in signal transduction.
PTEN	PTEN Gene	This gene plays a role in signal transduction and apoptosis. It is also involved in the regulation of cell cycle progression.
PTCH1	PTCH1 Gene	This gene is involved in tumor suppression and mutations in this gene have been associated with several cancers and cancer related diseases.
PSIP1	PSIP1 Gene	This gene is involved in regulation of transcription. It also plays a role in mediation of pre-mRNA splicing.
PRRX1	PRRX1 Gene	This gene plays a role in both transcriptional regulation and muscle cell development.
PRPF40B	PRPF40B Gene	This gene may be involved in mRNA splicing.
PRKCB	PRKCB Gene	This gene is involved in diverse cell processes such as apoptosis, B cell activation and endothelial cell proliferation.
PRKAR1A	PRKAR1A Gene	This gene plays a role in the regulation of protein kinase A.
PRKACA	PRKACA Gene	This gene is involved in the regulation of diverse cell processes including cell growth, proliferation, differentiation and motility.
PRF1	PRF1 gene	This gene is involved in cytolysis.
PREX2	PREX2 Gene	This gene is involved in guanine nucleotide exchange.
PRDM2	PRDM2 Gene	This gene is involved in both methylation of histone H3 and transcriptional regulation.
PRDM16	PRDM16 Gene	This gene plays a role in both transcriptional regulation and adipocyte differentiation.
PRDM1	PRDM1 Gene	This gene is involved in repression of transcription. It plays a role in the formation of pre-plasma memory B cells and immunoglobulin-secreting plasma cells.
PRCC	PRCC Gene	This gene may be involved in transcriptional regulation.
PPP6C	PPP6C Gene	This gene plays a role in both protein dephosphorylation and signaling.
PPP2R1A	PPP2R1A Gene	This gene plays a role in the regulation of cell growth and division.
PPM1D	PPM1D Gene	This gene plays a role in the modulation of cell cycle arrest.
PPFIBP1	PPFIBP1 Gene	This gene plays a role in protein-protein interactions.
PPARG	PPARG Gene	This gene plays a regulatory role in adipocyte differentiation.
POU5F1	POU5F1 Gene	This gene plays a role in early mammalian development.
POU2AF1	POU2AF1 Gene	This gene is involved in both humoral immunity and transcriptional regulation.
POT1	POT1 Gene	This gene plays a role in the regulation of telomere length.
POLQ	POLQ Gene	This gene is involved in DNA synthesis and repair.
