PERMITTED_VALUE	LONG_NAME	DEFINITION
8050/0	Papilloma	A benign epithelial neoplasm that projects above the surrounding epithelial surface and consists of villous or arborescent outgrowths of fibrovascular stroma.
8050/3	Papillary Carcinoma	A malignant epithelial neoplasm characterized by a papillary growth pattern. A papillary carcinoma may be composed of glandular cells (papillary adenocarcinoma), squamous cells (papillary squamous cell carcinoma), or transitional cells (papillary transitional cell carcinoma). Bladder carcinoma is a representative example of papillary transitional cell carcinoma.
8051/3	Verrucous Carcinoma	A well differentiated squamous cell carcinoma characterized by a papillary growth pattern, acanthosis, mild cytologic atypia, and pushing tumor margins. The most commonly affected anatomic sites are the oral cavity, nasal cavity, larynx, esophagus, anus, vagina, vulva, and the plantar region of the foot.
8052/0	Squamous Papilloma	A benign epithelial neoplasm characterized by a papillary growth pattern and a proliferation of neoplastic squamous cells without morphologic evidence of malignancy. Most frequently it arises in the oral cavity, nasopharynx, larynx, esophagus, vagina, and vulva.
8052/2	Non-Invasive Papillary Squamous Cell Carcinoma	A well differentiated squamous cell carcinoma characterized by a papillary, exophytic growth pattern, hyperkeratosis, and absence of invasion of adjacent tissues.
8052/3	Papillary Squamous Cell Carcinoma	A well differentiated squamous cell carcinoma characterized by a papillary, exophytic growth pattern and hyperkeratosis. The most commonly affected anatomic sites are the larynx, penis, cervix, vagina, and vulva.
8053/0	Inverted Squamous Papilloma	A benign epithelial neoplasm characterized by an endophytic growth, papillary pattern, and proliferation of neoplastic squamous cells without morphologic evidence of malignancy.
8054/0	Warty Dyskeratoma	A rare, usually solitary, benign epithelial tumor of the skin that appears to arise from a hair follicle. It usually develops in the head and neck region as a nodular lesion with a central keratotic plug.
8054/3	Warty Carcinoma	A squamous cell carcinoma characterized by a papillary growth pattern, hyperkeratosis, and koilocytosis.
8060/0	Squamous Papillomatosis	A benign squamous neoplasm characterized by a papillary growth pattern, diffusely involving a specific anatomic site.
8070/0	Actinic (Solar) Keratosis	A precancerous lesion of the skin composed of atypical keratinocytes.  It is characterized by the presence of thick, scaly patches of skin.  Several histologic variants have been described, including atrophic, acantholytic, and hyperkeratotic variants.
8070/2	Stage 0 Squamous Cell Carcinoma	A malignant epithelial neoplasm confined to the squamous epithelium, without invasion of the underlying tissues.
8070/3	Squamous Cell Carcinoma	A carcinoma arising from squamous epithelial cells.  Morphologically, it is characterized by the proliferation of atypical, often pleomorphic squamous cells.  Squamous cell carcinomas are graded by the degree of cellular differentiation as well, moderately, or poorly differentiated.  Well differentiated carcinomas are usually associated with keratin production and the presence of intercellular bridges between adjacent cells.  Representative examples are lung squamous cell carcinoma, skin squamous cell carcinoma, and cervical squamous cell carcinoma.
8070/6	Metastatic Squamous Cell Carcinoma	A carcinoma that arises from squamous cells and has spread from its original site of growth to another anatomic site.
8071/2	Differentiated Intraepithelial Neoplasia	Intraepithelial neoplasia of the penis or vulva. It usually presents as a solitary white or pink macule or plaque that may be slightly elevated. A background of long-standing lichen sclerosus is often present.
8071/3	Keratinizing Squamous Cell Carcinoma	Squamous cell carcinomas with morphologically prominent production of keratin.
8072/0	Large Cell Acanthoma	A benign, well-circumscribed squamous lesion characterized by the presence of enlarged keratinocytes with nuclei twice the normal size. (WHO 2018)
8072/3	Non-Keratinizing Large Cell Squamous Cell Carcinoma	A squamous cell carcinoma composed of large atypical cells, without morphologic evidence of keratin production.
8073/3	Non-Keratinizing Small Cell Squamous Cell Carcinoma	A squamous cell carcinoma composed of small atypical cells, without morphologic evidence of keratin production.
8074/3	Spindle Cell Squamous Cell Carcinoma	A poorly differentiated squamous cell carcinoma characterized by the presence of malignant cells with spindle cell features.
8075/3	Pseudoglandular Squamous Cell Carcinoma	A squamous cell carcinoma characterized by the formation of gland-like structures.
8076/2	Squamous Cell Carcinoma In Situ with Questionable Stromal Invasion	A malignant epithelial neoplasm involving all the layers of the squamous epithelium, but it is not certain if it is confined to the squamous epithelium or it has invaded the basement membrane and the underlying stroma.
8076/3	Microinvasive Squamous Cell Carcinoma	A squamous cell carcinoma with minimal stromal invasion.
8077/0	Low Grade Squamous Intraepithelial Neoplasia	A condition in which the cells of the uterine cervix are slightly abnormal. Low-grade squamous intraepithelial lesion is not cancer.
8077/2	High Grade Squamous Intraepithelial Neoplasia	A precancerous neoplastic process characterized by the presence of moderate or severe dysplastic cytological changes which extend to the upper part of the squamous epithelium.  Maturation at the surface of the squamous epithelium may or may not be present.  Representative examples include the high grade esophageal squamous intraepithelial neoplasia, high grade cervical squamous intraepithelial neoplasia, high grade vaginal intraepithelial neoplasia, and high grade vulvar intraepithelial neoplasia.
8078/3	Squamous Cell Carcinoma with Horn Formation	A keratinizing squamous cell carcinoma characterized by the presence of horn pearls. Representative examples include squamous cell carcinomas of the face presenting as a cutaneous horn.
8080/2	Penile Carcinoma In Situ	Stage 0 includes: Tis, N0, M0.  Tis: Carcinoma in situ.  cN0: No palpable or visibly enlarged inguinal lymph nodes.  pN0: No regional lymph node metastasis.  M0: No distant metastasis. (AJCC 7th ed.)
8081/2	Bowen Disease of the Skin	A form of squamous cell carcinoma in situ.  It is a distinct clinicopathological entity and arises from the skin or the mucocutaneous junction.  It affects predominantly white males in their 6-8th decades of life.  Exposed and non-exposed skin sites are equally affected.  UV damage and ingestion of inorganic arsenic may play a role in the development of the disease.  On the skin surface, it presents as a single or multiple erythematous, scaly, keratotic patches or plaques.  The clinical entity of erythroplasia of Queyrat is regarded as Bowen disease of the penis and it presents as an asymptomatic, red, circumscribed plaque.  Morphologically, Bowen disease is characterized by the presence of hyperkeratosis, parakeratosis, dyskeratosis, and acanthosis.  The keratotic squamous cells are atypical and display hyperchromatism and abnormal mitotic figures.  The dermoepidermal basement membrane is intact.  Complete surgical removal of the lesion may be curative.
8082/3	Nasopharyngeal Type Undifferentiated Carcinoma	A nonkeratinizing carcinoma which occurs predominantly in the nasopharynx but also in the tonsils and rarely in other anatomic sites.  It is characterized by the presence of large malignant cells with vesicular nuclei, prominent nucleoli, syncytial growth pattern, and a lymphoplasmacytic infiltrate.
8083/3	Basaloid Squamous Cell Carcinoma	A squamous cell carcinoma characterized by the presence of cells with hyperchromatic nuclei, scant amount of cytoplasm, and peripheral nuclear palisading.
8084/0	Clear Cell Acanthoma	An acanthoma characterized by the presence of psoriasiform epidermal acanthosis and basal cells with pale cytoplasm.
8084/3	Squamous Cell Carcinoma, Clear Cell Type	A squamous cell carcinoma characterized by the presence of malignant cells with clear cytoplasm.
8085/3	Human Papillomavirus-Related Squamous Cell Carcinoma	A squamous cell carcinoma associated with the presence of human papillomavirus infection.
8086/3	Human Papillomavirus-Negative Squamous Cell Carcinoma	A squamous cell carcinoma not associated with human papilloma virus infection.
8090/1	Basal Cell Neoplasm	A neoplastic proliferation of basal cells in the epidermis (part of the skin) or other anatomic sites (most frequently the salivary glands).  The basal cell neoplastic proliferation in the epidermis results in basal cell carcinomas.  The basal cell neoplastic proliferation in the salivary glands can be benign, resulting in basal cell adenomas or malignant, resulting in basal cell adenocarcinomas.
8090/3	Basal Cell Carcinoma	A carcinoma involving the basal cells.
8091/3	Superficial Basal Cell Carcinoma	A variant of basal cell carcinoma of the skin presenting as erythematous, often multiple patches.  Morphologically, it is characterized by the presence of superficial lobules of basaloid cells projecting into the dermis.  The basaloid cell lobules are surrounded by myxoid stroma and are usually confined to the papillary dermis.
8092/3	Skin Infiltrating Basal Cell Carcinoma	A variant of basal cell carcinoma presenting as a pale, indurated plaque, usually in the upper trunk or face. Morphologically, it is characterized by the presence of strands, cords, and columns of basaloid cells infiltrating the dermis. Perineural invasion may be present and the basaloid cell infiltrate may extend into deeper tissues.
8093/3	Skin Fibroepithelial Basal Cell Carcinoma	A variant of basal cell carcinoma presenting as an elevated or erythematous nodular lesion usually in the back. Morphologically, it is characterized by the presence of cords of basaloid cells extending from the epidermis into the dermis, creating a fenestrating pattern. It follows an indolent course.
8094/3	Skin Basosquamous Cell Carcinoma	A basal cell carcinoma which displays squamous differentiation. The neoplastic cells have more abundant cytoplasm with more marked keratinization than typical basal cell carcinomas. It usually has a more aggressive clinical course compared to typical basal cell carcinoma, and it may produce regional or widespread metastases.
8095/3	Skin Metatypical Carcinoma	A skin carcinoma displaying cytological characteristics intermediate to nodular basal cell carcinoma and squamous cell carcinoma.
8097/3	Skin Nodular Basal Cell Carcinoma	A basal cell carcinoma of the skin that often appears as elevated nodules which may become ulcerated.
8098/3	Skin Adenoid Basal Cell Carcinoma	A variant of basal cell carcinoma morphologically characterized by the presence of thin strands of basaloid cells forming a reticulate pattern.
8100/0	Trichoblastoma	A benign hair follicle neoplasm with trichoblastic differentiation. It usually presents as a solitary papular lesion It most often presents on the head and neck area, but it may develop in any anatomic site containing hair follicles. Because of its benign nature, treatment usually is not required, provided that the diagnosis has been established with certainty.
8101/0	Trichofolliculoma	A skin appendage neoplasm with follicular differentiation. It usually occurs in the head and neck region, particularly the face. It presents as a solitary dome-shaped small lesion. The clinical course is benign.
8102/0	Trichilemmoma	A benign neoplasm arising from the outer hair sheath and infundibulum. It occurs in the head and neck, usually on the face. It usually presents as an exophytic wart-like lesion or a dome-shaped lesion with smooth surface. Multiple facial lesions are usually associated with Cowden disease.
8104/0	Pilar Sheath Acanthoma	A benign, small, papular or nodular skin neoplasm that usually arises above the upper lip. It is characterized by an epithelial proliferation with a central cavity. The cavity wall is lined with keratinocytes.
8110/0	Pilomatricoma	A benign adnexal neoplasm arising from hair-bearing skin surfaces, usually the head and neck and upper extremities. It usually presents as a solitary, slow-growing nodular mass. Morphologically, it displays differentiation towards the matrix and inner sheath of the normal hair follicle and the hair cortex. Complete surgical excision is usually curative. Occasionally, it may recur.
8110/3	Pilomatrical Carcinoma	A very rare, locally aggressive, malignant neoplasm of the hair follicle. The majority of the cases arise de novo, however malignant transformation from a pre-existing pilomatricoma has been reported. It usually presents as a solitary nodule in the head and neck, upper extremities, or buttocks. Morphologically, it is characterized by the presence of aggregates of basaloid cells infiltrating the dermis. Masses of ghost cells are present in the cellular aggregates. Complete surgical excision is the treatment of choice. If it is not completely removed, it usually recurs, but it rarely metastasizes to distant anatomic sites.
8120/0	Urothelial Papilloma	A rare benign neoplasm that arises from the urinary tract and is characterized by the presence of a papillary growth with a central fibrovascular core. The latter is lined by normal urothelium.
8120/2	Carcinoma in situ: flat tumor	A flat urothelial lesion of variable thickness in the bladder, devoid of papillary structures containing cytologically malignant cells. (WHO 2016)
8120/3	Transitional Cell Carcinoma	A malignant neoplasm arising from the transitional epithelium, usually affecting the urinary bladder, ureter, or renal pelvis. It may or may not have a papillary configuration. It is graded 1 to 3 or 4 according to the degree of cellular differentiation and architectural patterns. Grade 1 transitional cell carcinoma is histologically benign but it may recur. Transitional cell carcinomas may also affect the upper respiratory tract and the ovaries.
8121/0	Sinonasal Exophytic Papilloma	A papilloma with an exophytic growth arising from the sinonasal track.
8121/1	Sinonasal Inverted Papilloma	A benign neoplasm that arises from the ciliated respiratory mucosa that lines the nasal cavity or paranasal sinuses.  It results from the invagination and proliferation of epithelial cells in the underlying stroma.  Clinical manifestations include nasal obstruction, epistaxis, and anosmia. It has the tendency to recur and extend to adjacent structures.  Inverted papillomas are occasionally associated with the development or presence of carcinomas, usually squamous cell carcinomas.
8121/3	Non-Keratinizing Sinonasal Squamous Cell Carcinoma	A squamous cell carcinoma of the sinonasal tract characterized by a plexiform or ribbon-like growth pattern, cytological atypia, and lack of histological evidence of keratinization.
8122/3	Invasive Sarcomatoid Urothelial Carcinoma	An invasive urothelial carcinoma that exhibits spindle cell sarcomatoid features.
8123/3	Basaloid Carcinoma	A malignant epithelial neoplasm characterized by the presence of neoplastic cells with hyperchromatic nuclei, small amount of cytoplasm, and peripheral nuclear palisading.
8124/3	Anal Cloacogenic Carcinoma	An anal carcinoma arising from the transitional zone of the anal canal.
8130/1	Papillary Urothelial Neoplasm of Low Malignant Potential	A papillary neoplasm of the urothelium. The papillary structures exhibit minimal architectural distortion and minimal atypia. Mitoses are infrequent. It usually occurs in the urinary bladder, but it can arise from other sites in the urinary tract. Patients are at an increased risk of developing new papillary lesions. Occasionally, the new lesions are urothelial carcinomas.
8130/2	Non-Invasive Papillary Transitional Cell Carcinoma	A transitional cell carcinoma characterized by a papillary growth pattern and lack of stromal invasion.
8130/3	Papillary Transitional Cell Carcinoma	A non-invasive or invasive transitional cell carcinoma characterized by a papillary growth pattern. It may occur in the bladder or the renal pelvis.
8131/3	Micropapillary Transitional Cell Carcinoma	A transitional cell carcinoma characterized by a micropapillary growth pattern. Typical example is the micropapillary variant of infiltrating bladder urothelial carcinoma.
8140/0	Adenoma	A neoplasm arising from the glandular epithelium.  It may be encapsulated or non-encapsulated.  The neoplastic epithelial cells may or may not display cellular atypia or dysplasia.  Representative examples are pituitary gland adenoma, follicular adenoma of the thyroid gland, and adenomas (or adenomatous polyps) of the gastrointestinal tract. -- 2004
8140/1	Atypical Adenoma	An adenoma characterized by increased cellularity and nuclear atypia without evidence of vascular or capsular invasion. A representative example is thyroid gland atypical follicular adenoma.
8140/2	Adenocarcinoma, in situ	A lesion in which the normally situated glands are partially or completely replaced by atypical cells with malignant characteristics.
8140/3	Adenocarcinoma	carcinoma derived from glandular tissue or in which tumor cells form recognizable glandular structures.
8140/6	Metastatic Adenocarcinoma	An adenocarcinoma that has spread from its original site of growth to another anatomic site.
8141/3	Scirrhous Adenocarcinoma	An infiltrating adenocarcinoma characterized by the presence of desmoplastic stromal reaction.
8142/3	Linitis Plastica	A cancer-related condition in which the gastric wall becomes thickened and rubbery (leather-bottle stomach). It is most often associated with diffuse gastric adenocarcinomas.
8144/0	Gastrointestinal Tract Adenoma, Intestinal-Type	An adenoma that arises from the glandular epithelium of the gastrointestinal tract and is associated with intestinal-type differentiation.
8144/3	Intestinal-Type Adenocarcinoma	An adenocarcinoma arising from epithelium which has undergone intestinal metaplasia. Representative examples include gastric, gallbladder, and ampulla of Vater intestinal type adenocarcinomas.
8145/3	Diffuse Type Adenocarcinoma	An adenocarcinoma characterized by the presence of a diffuse cellular infiltrate which is composed of poorly cohesive cells with minimal or no glandular formations. Representative example is the gastric diffuse adenocarcinoma.
8146/0	Salivary Gland Monomorphic Adenoma	A benign epithelial neoplasm arising from the salivary glands. It is characterized by the presence of a monomorphic cellular infiltrate.
8147/0	Salivary Gland Basal Cell Adenoma	A benign epithelial neoplasm with a uniform, monomorphic appearance that is dominated by basal cells forming trabecular structures. It is rare, and occurs mostly on the parotid gland. The average age of patients has been reported to be 58 years. Swelling is the most constant clinical finding.
8147/3	Salivary Gland Basal Cell Adenocarcinoma	A rare adenocarcinoma of the major and minor salivary glands, originating from basaloid, myoepithelial and ductal cells.  While morphologically resembling basal cell carcinomas, it is a distinct entity.  The tumor is not encapsulated, may invade locally, and less frequently may metastasize.  It usually occurs in older patients.
8148/0	Low Grade Glandular Intraepithelial Neoplasia	No value exists.
8148/2	High Grade Glandular Intraepithelial Neoplasia	This lesion shows moderate or marked architectural distortion with glandular crowding and prominent cellular atypia.  It includes moderate dysplasia and severe dysplasia.  (WHO, 2000)
8149/0	Salivary Gland Canalicular Adenoma	A benign epithelial neoplasm primarily composed of branching and interconnecting cords of single and double-cell thick rows of columnar epithelium in a very loose stroma. It often occurs in the upper lip, where only pleomorphic adenoma is more frequent. Asymptomatic swelling of the upper lip is the most common clinical finding. It may present clinically and histologically as a multifocal lesion, a feature not generally seen with other intraoral salivary gland tumors.
8150/0	Pancreatic Neuroendocrine Microtumor	A non-functioning pancreatic neuroendocrine tumor measuring less than 0.5 cm in diameter.
8150/3	Non-Functional Pancreatic Neuroendocrine Tumor	A low or intermediate grade well differentiated tumor with neuroendocrine differentiation that arises from the pancreas.  It is characterized by the absence of a hormone-related clinical syndrome.
8151/3	Pancreatic Insulinoma	An insulin-producing neuroendocrine tumor arising from the beta cells of the pancreas.  Patients exhibit symptoms related to hypoglycemia due to inappropriate secretion of insulin.
8152/3	Pancreatic Glucagonoma	A usually malignant, glucagon-producing neuroendocrine tumor arising from the pancreatic alpha cells. It may be associated with necrolytic erythema migrans, diarrhea, diabetes, glossitis, weight loss, malabsorption, and anemia. Almost 25% of patients experience thromboembolic complications, and 50% have liver metastases at the time of diagnosis.
8153/3	Gastrin-Producing Neuroendocrine Tumor	A gastrin-producing neuroendocrine tumor. It is usually located in the pancreas but it is also found at other anatomic sites, including the stomach and small intestine.
8154/3	Mixed Neuroendocrine Non-Neuroendocrine Neoplasm	A rare neoplasm that consists of neuroendocrine and non-neuroendocrine cellular components. At least 30% of either component should be present for the diagnosis to be made.
8155/3	VIP-Producing Neuroendocrine Tumor	An often clinically aggressive neuroendocrine tumor located in the pancreas or small intestine.  It is composed of cells containing vasoactive intestinal peptide.  It may cause intractable diarrhea and metabolic disturbances.
8156/3	Somatostatin-Producing Neuroendocrine Tumor	A rare, usually malignant neuroendocrine tumor arizing from delta cells.  This neoplasm produces large amounts of somatostatin, which may result in a syndrome characterized by diarrhea, steatorrhea, weight loss, and gastric hyposecretion. Sixty percent are found in the pancreas and 40% in the duodenum or jejunum. The peak incidence occurs between 40 and 60 years of age; women are affected more than men by 2:1.
8158/3	Pancreatic ACTH-Producing Neuroendocrine Tumor	An ectopic ACTH producing pancreatic neuroendocrine tumor. It may be associated with Cushing syndrome. Most patients present with metastases at the time of diagnosis and the prognosis is usually poor.
8160/0	Bile Duct Adenoma	A benign, well-demarcated polypoid neoplasm arising from the bile duct epithelium. According to the growth pattern, it is classified as tubular, papillary, or tubulopapillary. Adenomas arising from the extrahepatic bile ducts usually produce symptoms related to biliary obstruction.
8160/3	Cholangiocarcinoma	A carcinoma that arises from the intrahepatic biliary tree (intrahepatic cholangiocarcinoma) or from the junction, or adjacent to the junction, of the right and left hepatic ducts (hilar cholangiocarcinoma). Grossly, the malignant lesions are solid, nodular, and grayish. Morphologically, the vast majority of cases are adenocarcinomas. Signs and symptoms include malaise, weight loss, right upper quadrant abdominal pain, and night sweats. Early detection is difficult and the prognosis is generally poor.
8161/0	Bile Duct Cystadenoma	An epithelial, usually multiloculated neoplasm arising from the bile duct epithelium. It occurs predominantly in females. Signs and symptoms include abdominal mass, abdominal pain, and jaundice. Morphologically, the cystic spaces are lined by columnar epithelium and contain mucinous or serous fluid.
8161/3	Bile Duct Cystadenocarcinoma	A mucinous cystic neoplasm that arises from the intrahepatic or extrahepatic bile ducts and it is associated with an invasive carcinomatous component.
8162/3	Hilar Cholangiocarcinoma	A cholangiocarcinoma arising from the hilar ducts located at the hilar area of the liver.
8163/0	Ampullary Noninvasive Papillary Neoplasm, Pancreatobiliary Type	An exophytic, preinvasive, papillary epithelial neoplasm that arises from the ampulla of Vater.  Histologically it resembles the papillary neoplasms of the biliary tree.  This category includes neoplasms with low grade dysplasia and high grade dysplasia.
8163/2	Ampullary Noninvasive Pancreatobiliary Papillary Neoplasm with High Grade Dysplasia	An ampullary noninvasive papillary neoplasm of the pancreatobiliary type characterized by the presence of high grade dysplasia.
8163/3	Ampulla of Vater Pancreatobiliary Type Adenocarcinoma	An invasive adenocarcinoma that arises from the ampulla of Vater. It is characterized by the presence of malignant cells that resemble the malignant cells of the pancreatic ductal or extrahepatic bile duct carcinomas.
8170/0	Hepatocellular Adenoma	A benign epithelial neoplasm arising from the hepatocytes. Grossly, it appears as a soft, round mass which often contains areas of hemorrhage and necrosis. Morphologically, the neoplastic cells resemble normal hepatocytes and form plates separated by sinusoids. Most patients have a history of contraceptive or anabolic steroids use.
8170/3	Hepatocellular Carcinoma	A malignant tumor that arises from hepatocytes. Hepatocellular carcinoma is relatively rare in the United States but very common in all African countries south of the Sahara and in Southeast Asia. Most cases are seen in patients over the age of 50 years, but this tumor can also occur in younger individuals and even in children. Hepatocellular carcinoma is more common in males than females and is associated with hepatitis B, hepatitis C, chronic alcohol abuse and cirrhosis. Serum elevation of alpha-fetoprotein occurs in a large percentage of patients with hepatocellular carcinoma. Grossly, hepatocellular carcinoma may present as a single mass, as multiple nodules, or as diffuse liver involvement. Microscopically, there is a wide range of differentiation from tumor to tumor (well differentiated to poorly differentiated tumors). Hepatocellular carcinomas quickly metastasize to regional lymph nodes and lung. The overall median survival of untreated liver cell carcinoma is about 4 months. The most effective treatment of hepatocellular carcinoma is complete resection of the tumor. Lately, an increasing number of tumors have been treated with liver transplantation.
8171/3	Fibrolamellar Hepatocellular Carcinoma	Fibrolamellar carcinoma is a distinctive morphologic variant of liver cell carcinoma seen predominantly in young patients without cirrhosis and associated with favorable prognosis.  The tumor cells are polygonal and deeply eosinophilic embedded in a fibrous stroma.  Over half of the fibrolamellar carcinomas are resectable, and the cure rate is about 50%.
8172/3	Scirrhous Hepatocellular Carcinoma	An uncommon type of hepatocelluar carcinoma, morphologically characterized by significant fibrosis around the sinusoid-like spaces and atrophy of the tumor trabeculae.
8173/3	Sarcomatoid Hepatocellular Carcinoma	A morphologic variant of hepatocellular carcinoma characterized by the presence of malignant spindle cells or atypical giant cells.
8174/3	Clear Cell Hepatocellular Carcinoma	A morphologic variant of hepatocellular carcinoma characterized by the presence of clear cells.
8175/3	Pleomorphic Hepatocellular Carcinoma	A morphologic variant of hepatocellular carcinoma, characterized by the presence of malignant cells which show marked variation in their size and shape. Bizarre mononuclear or multinucleated giant cells are often present.
8180/3	Combined Hepatocellular Carcinoma and Cholangiocarcinoma	A rare tumor containing unequivocal elements of both hepatocellular and cholangiocarcinoma that are intimately admixed.  This tumor should be distinguished from separate hepatocellular carcinoma and cholangiocarcinoma arising in the same liver.  The prognosis of this tumor is poor.
8190/0	Trabecular Adenoma	A benign epithelial neoplasm characterized by the presence of a trabecular glandular architectural pattern.
8190/3	Trabecular Adenocarcinoma	An adenocarcinoma characterized by the presence of a trabecular glandular architectural pattern.
8200/0	Cylindroma	A benign sweat gland neoplasm usually occurring in the scalp or the face. It may present as solitary or multiple papular or nodular lesions. It may be a sporadic lesion or part of Brooke-Spiegler syndrome. It arises from the dermis and has a multinodular, circumscribed appearance. The nodules contain basaloid cells with small, dark nuclei. Complete excision is usually curative.
8200/3	Adenoid Cystic Carcinoma	A malignant tumor arising from the epithelial cells.  Microscopically, the neoplastic epithelial cells form cylindrical spatial configurations (cribriform or classic type of adenoid cystic carcinoma), cordlike structures (tubular type of adenoid cystic carcinoma), or solid structures (basaloid variant of adenoid cystic carcinoma).  Adenoid cystic carcinomas mostly occur in the salivary glands.  Other primary sites of involvement include the lacrimal gland, the larynx, and the lungs.  Adenoid cystic carcinomas spread along nerve sheaths, resulting in severe pain, and they tend to recur.  Lymph node metastases are unusual; hematogenous tumor spread is characteristic.
8201/2	Non-Invasive Cribriform Carcinoma	A carcinoma characterized by the presence of a cribriform architectural pattern. There is no evidence of surrounding stromal invasion by the malignant cells.
8201/3	Cribriform Carcinoma	A carcinoma characterized by the presence of a cribriform architectural pattern. Representative examples include the intraductal cribriform breast carcinoma and invasive cribriform breast carcinoma.
8202/0	Microcystic Adenoma	A benign epithelial neoplasm characterized by a microcystic pattern. The cystic spaces are lined by small cuboidal cells without evidence of significant cytologic atypia.
8204/0	Lactating Adenoma	A tubular type adenoma of the breast in which, during pregnancy and lactation, the epithelial cells show extensive secretory changes.
8210/0	Adenomatous Polyp	A polypoid neoplasm arising from the glandular epithelium. There is proliferation of glandular cells which may display dysplastic cytologic features. Representative examples include the adenomatous polyps of the colon and rectum.
8210/2	Adenocarcinoma In Situ in Adenomatous Polyp	A non-invasive adenocarcinoma arising from the neoplastic glandular cells in an adenomatous polyp.
8210/3	Adenocarcinoma in Adenomatous Polyp	A non-invasive or invasive adenocarcinoma arising from the neoplastic glandular cells in an adenomatous polyp.
8211/0	Tubular Adenoma	A usually polypoid neoplasm arising from the glandular epithelium. It is characterized by a tubular architectural pattern. The neoplastic glandular cells have dysplastic features. Representative examples include the tubular adenomas of the colon and rectum.
8211/3	Tubular Adenocarcinoma	An infiltrating adenocarcinoma in which the malignant cells form tubular structures. Representative examples include the tubular breast carcinoma and the gastric tubular adenocarcinoma.
