PERMITTED_VALUE	DESCRIPTION	DEFINITION
T2	T2 Stage Finding	A general term that refers to a TNM finding of primary tumor growth beyond the level of in situ cancer, minimal subepithelial invasion, or minimal greatest diameter. The definition of T2 TNM finding depends on the specific type of cancer that it refers to; for example, for breast cancer it refers to primary tumor that is more than 2.0 cm, but not more than 5.0 cm in greatest dimension; for cutaneous melanoma it refers to primary tumor that is 1.01 to 2 mm in thickness, with or without ulceration; for colorectal cancer it refers to primary tumor with invasion into the muscularis propria; and for bladder cancer it refers to primary tumor with invasion into the muscle layer.
T2a	T2a Stage Finding	A general term that refers to a TNM finding of a primary tumor growth beyond the level of in situ cancer, minimal subepithelial invasion, or minimal greatest diameter. The definition of T2a TNM finding depends on the specific type of cancer that it refers to; for example, for kidney cancer it refers to a primary tumor that measures more than 7 cm but less than or equal to 10 cm in greatest dimension, and is limited to the kidney; for bladder cancer it refers to a primary tumor that invades the superficial muscularis propria (inner half); for cervical cancer it refers to a primary tumor that invades beyond the uterus but not to the pelvic wall or to the lower third of vagina and there is no parametrial invasion.
T2a1	Stage T2a1 Finding	Cervical cancer invades beyond uterus but not to pelvic wall or to lower third of vagina.  There is no parametrial invasion.  Clinically visible lesions 4.0 cm or less in greatest dimension are present.  (from AJCC 7th Ed.)
T2a2	Stage T2a2 Finding	Cervical cancer invades beyond uterus but not to pelvic wall or to lower third of vagina.  There is no parametrial invasion.  Clinically visible lesions more than 4.0 cm in greatest dimension are present.  (from AJCC 7th Ed.)
T2b	T2b Stage Finding	A general term that refers to a TNM finding of a primary tumor growth beyond the level of in situ cancer, minimal subepithelial invasion, or minimal greatest diameter. The definition of T2b TNM finding depends on the specific type of cancer that it refers to; for example, for kidney cancer it refers to a primary tumor that measures more than 10 cm in greatest dimension, and  is limited to the kidney; for bladder cancer it refers to a primary tumor that invades the deep muscularis propria (outer half); for cervical cancer it refers to a primary tumor that invades beyond the uterus but not to the pelvic wall or to the lower third of vagina and there is parametrial invasion.
T2c	T2c Stage Finding	A general term that refers to a TNM finding of a primary tumor growth beyond the level of in situ cancer, minimal subepithelial invasion, or minimal greatest diameter. The definition of T2c TNM finding depends on the specific type of cancer that it refers to; for example, for prostate cancer it refers to a primary tumor that involves both lobes of the prostate gland; for ovarian cancer it refers to a primary tumor that involves one or both ovaries with extension or implants on the uterus and/or fallopian tubes, or other pelvic tissues, with malignant cells in either ascites or peritoneal washings; for fallopian tube cancer it refers to a primary tumor with pelvic extension and malignant cells in ascites or peritoneal washings.
T2d	T2d Stage Finding	Tumor size category 2 with ciliary body involvement and extraocular extension less than or equal to 5 mm in diameter. (from AJCC 7th Ed.)
T3	T3 Stage Finding	A clinical and/or pathologic primary tumor TNM finding usually indicating that the cancer is locally invasive, without infiltration of adjacent structures.
T3a	T3a Stage Finding	A general term that refers to a TNM finding of a primary tumor usually indicating that the cancer is locally invasive. The definition of T3a TNM finding depends on the specific type of cancer that it refers to; for example, for kidney cancer it refers to a primary tumor that grossly extends into the renal vein or its segmental (muscle containing) branches or the tumor invades perirenal and/or renal sinus fat but does not extends beyond Gerota's fascia; for cervical cancer it refers to a primary tumor that involves the lower third of vagina, without extension to pelvic wall; for liver cancer it refers to the presence of multiple tumors measuring more than 5 cm in greatest dimension.
T3b	T3b Stage Finding	A general term that refers to a TNM finding of a primary tumor usually indicating that the cancer is locally invasive. The definition of T3b TNM finding depends on the specific type of cancer that it refers to; for example, for kidney cancer it refers to a primary tumor that grossly extends into the vena cava below the diaphragm; for cervical cancer it refers to a primary tumor that extends to the pelvic wall and/or causes hydronephrosis or nonfunctioning kidney; for liver cancer it refers to a single tumor or multiple tumors of any size involving a major branch of the portal vein or hepatic vein.
T3c	T3c Stage Finding	A general term that refers to a TNM finding of a primary tumor usually indicating that the cancer is locally invasive. The definition of T3c TNM finding depends on the specific type of cancer that it refers to; for example, for kidney cancer it refers to a primary tumor that grossly extends into the vena cava above the diaphragm, or invades the wall of the vena cava; for fallopian tube cancer it refers to a primary tumor with peritoneal metastasis outside the pelvis measuring more than 2 cm in diameter; for melanoma of the conjunctiva it refers to a primary tumor invading the orbit.
T3d	T3d Stage Finding	Tumor size category 3 with ciliary body involvement and extraocular extension less than or equal to 5 mm in diameter. (from AJCC 7th Ed.)
T4	T4 Stage Finding	A clinical and/or pathologic primary tumor TNM finding indicating direct invasion of adjacent structures by cancer.
T4a	T4a Stage Finding	A general term that refers to a TNM finding of a primary tumor with direct invasion of adjacent structures. The definition of T4a TNM finding depends on the specific type of cancer that it refers to; for example, for bladder cancer it refers to a primary tumor that invades the prostatic stroma, uterus, and vagina; for gastric cancer it refers to a primary tumor that invades the serosa (visceral peritoneum); for colorectal cancer it refers to a primary tumor that penetrates to the surface of the visceral peritoneum.
T4b	T4b Stage Finding	A general term that refers to a TNM finding of a primary tumor with direct invasion of adjacent structures. The definition of T4b TNM finding depends on the specific type of cancer that it refers to; for example, for bladder cancer it refers to a primary tumor that invades the pelvic wall and abdominal wall; for gastric cancer it refers to a primary tumor that invades adjacent structures; for colorectal cancer it refers to a primary tumor with direct invasion or adherence to other organs or structures.
T4c	T4c Stage Finding	A general term that refers to a TNM finding of a primary tumor with direct invasion of adjacent structures. The definition of T4c TNM finding depends on the specific type of cancer that it refers to; for example, for breast cancer it refers to a primary tumor that extends to the chest wall, not including the pectoralis muscle, and with edema (including peau d'orange) or ulceration of the skin of the breast or satellite skin nodules confined to the same breast; for ocular adnexal lymphoma it refers to a primary tumor that Involves the maxillofacial, ethmoidal, and/or frontal sinuses; for carcinoma of the conjunctiva it refers to a primary tumor that invades adjacent paranasal sinuses.
T4d	T4d Stage Finding	A general term that refers to a TNM finding of a primary tumor with direct invasion of adjacent structures. The definition of T4d TNM finding depends on the specific type of cancer that it refers to; for example, for breast cancer it refers to a primary tumor that meets the clinical-pathologic criteria of inflammatory carcinoma; for ocular adnexal lymphoma it refers to a primary tumor with intracranial spread; for carcinoma of the conjunctiva it refers to a primary tumor that invades the brain.
T4e	T4e Stage Finding	Any tumor size category with extraocular extension more than 5 mm in diameter. (from AJCC 7th Ed.)
T5	T5 Stage Finding	An antiquated primary tumor finding term that refers to colorectal cancer which has spread by direct extension beyond the immediately adjacent organs or tissues. (AJCC 1st Ed.)
TX	TX Stage Finding	A primary tumor TNM finding indicating that the status of the primary tumor cannot be assessed.
Ta	Ta Stage Finding	A term that refers to a TNM finding of a primary, non-invasive, papillary cancer.
Tis	Tis Stage Finding	Breast cancer with a finding of carcinoma in situ. (from AJCC 6th and 7th Eds.)
Tis (DCIS)	Tis Stage Finding Ductal Breast Carcinoma In Situ	A term that refers to a TNM finding of a primary tumor microscopically defined as carcinoma in situ.: A carcinoma entirely confined to the mammary ducts. It is also known as DCIS. There is no evidence of invasion of the basement membrane. Currently, it is classified into three categories: High-grade DCIS, intermediate-grade DCIS and low-grade DCIS. In this classification the DCIS grade is defined by a combination of nuclear grade, architectural growth pattern and presence of necrosis. The size of the lesion as well as the grade and the clearance margins play a major role in dictating the most appropriate therapy for DCIS.
Tis (LCIS)	Tis Stage Finding Lobular Breast Carcinoma In Situ	A term that refers to a TNM finding of a primary tumor microscopically defined as carcinoma in situ.: A non-invasive adenocarcinoma of the breast characterized by a proliferation of monomorphic cells completely filling the lumina.  The overall lobular architecture is preserved.  It is frequently multifocal (90% in some series) and bilateral.  It seldom becomes invasive; however there is an increased risk of infiltrating ductal adenocarcinoma.
Tis (Paget's)	Tis Stage Finding Paget Disease of the Breast without Invasive Carcinoma	A term that refers to a TNM finding of a primary tumor microscopically defined as carcinoma in situ.: Paget disease involving the skin overlying the mammary gland, without accompanying invasive ductal or lobular breast carcinoma.
Unknown	None	Not known, not observed, not recorded, or refused.
